Ticker,Volume,Short Float,Short Ratio
GLOB,"1,722,847",15.53%,4.59
VSCO,"3,036,673",15.91%,4.56
RVLV,"1,598,900",16.01%,5.83
IMNM,"2,112,030",16.08%,9.55
GME,"10,588,665",16.88%,8.41
OXM,"807,786",16.91%,5.21
BKV,"2,284,132",17.04%,3.35
GES,"829,453",17.12%,9.00
URBN,"2,192,295",17.24%,4.47
NRDY,"1,871,609",17.35%,11.17
TRVI,"2,470,861",17.65%,6.89
BBW,"933,956",18.45%,5.91
SYRE,"1,313,203",18.47%,14.36
COLL,"683,451",18.62%,12.23
BCRX,"7,600,761",18.70%,7.69
ABL,"814,428",18.72%,8.55
HROW,"874,639",19.05%,8.19
APGE,"1,214,136",19.80%,10.80
ASAN,"10,637,019",20.10%,4.31
HRTX,"2,595,661",20.15%,20.80
CRNC,"2,111,297",20.45%,4.34
VERA,"3,521,214",20.48%,6.42
SVRA,"4,385,126",21.40%,10.17
NBR,"823,628",21.74%,4.68
TTEC,"357,066",21.90%,13.42
BEAM,"2,660,155",22.45%,7.91
CAL,"1,293,832",23.14%,6.98
DBI,"886,651",23.54%,9.68
KROS,"2,151,757",23.88%,7.51
KSS,"7,070,614",25.81%,5.05
AVBP,"442,858",27.54%,21.62
ULCC,"4,540,315",33.61%,7.19
CAPR,"56,727,271",35.22%,8.77
KALV,"6,356,009",38.26%,10.89
SNBR,"823,358",40.76%,10.11
IRBT,"224,749,008",41.90%,3.25
