Ticker,Volume,Short Float,Short Ratio
KMTS,"322,540",15.19%,10.12
CXT,"922,501",15.20%,9.04
DNTH,"1,535,901",15.22%,8.34
TRVI,"3,596,509",15.50%,9.05
SDGR,"1,751,989",15.80%,7.40
RARE,"1,906,272",15.96%,7.93
RCUS,"2,505,678",16.00%,10.96
REAL,"5,969,242",16.04%,5.10
XNCR,"874,724",16.11%,14.22
REYN,"1,911,253",16.45%,7.90
PRA,"3,381,597",16.66%,8.56
GALT,"1,846,975",16.76%,19.23
PSNL,"4,940,584",17.25%,4.45
BKD,"6,555,227",17.35%,10.22
SRRK,"2,130,568",17.37%,11.55
COHU,"1,860,633",17.82%,5.94
ZD,"615,958",17.86%,9.57
CGEM,"1,303,961",17.90%,7.85
IMCR,"827,001",17.97%,20.35
CDNA,"1,315,776",18.06%,10.71
CGON,"1,346,144",18.37%,10.27
APGE,"4,881,433",18.45%,4.87
BCRX,"19,037,176",18.91%,8.75
SION,"475,583",18.92%,12.02
ABCL,"11,843,847",19.11%,6.69
NUVB,"24,825,282",19.29%,11.66
MBX,"1,232,122",19.40%,8.57
CACC,"257,729",19.49%,6.22
RGNX,"1,546,932",19.82%,6.12
BOBS,"1,470,522",20.24%,5.60
VERA,"2,669,066",20.26%,10.11
BHVN,"6,056,105",20.34%,9.97
NRIX,"5,325,874",20.45%,11.19
PVLA,"277,799",20.52%,8.44
VKTX,"4,307,442",20.67%,10.09
QURE,"2,911,459",20.93%,5.64
PENG,"3,066,978",20.99%,3.68
PACB,"10,573,768",21.13%,9.93
SVV,"1,658,291",21.17%,6.97
TGTX,"2,301,487",21.34%,13.56
MBRX,"565,981",21.83%,3.02
EVMN,"492,262",22.16%,10.83
RLAY,"6,067,375",23.27%,9.57
AVBP,"1,031,421",23.52%,15.39
IMVT,"2,153,553",23.79%,10.35
JBLU,"34,108,327",24.25%,2.69
ABSI,"13,208,919",25.03%,6.05
HNGE,"2,790,554",25.30%,3.95
UHAL,"274,090",25.92%,7.96
BCAX,"1,216,622",27.05%,17.83
PGEN,"5,345,585",27.25%,8.93
FDMT,"984,925",27.64%,15.76
KSS,"5,604,556",27.77%,6.02
GLUE,"1,768,469",29.21%,17.17
GRND,"1,636,639",29.32%,5.53
SVRA,"2,632,610",29.43%,21.64
TWST,"2,781,264",29.62%,10.95
ZBIO,"1,590,451",32.10%,16.05
SLS,"15,016,944",34.47%,8.52
ARQQ,"895,156",39.10%,2.73
GRPN,"3,890,932",62.07%,6.46
