Ticker,Volume,Short Float,Short Ratio
CENX,"2,529,794",15.15%,3.74
SHAK,"1,620,866",15.59%,3.86
AHL,"443,285",15.81%,9.31
MBC,"3,017,257",15.93%,12.62
GME,"9,956,948",16.11%,8.66
LITE,"6,679,742",16.19%,2.34
PEB,"2,241,987",16.54%,9.08
BLBD,"716,959",17.08%,12.09
RLAY,"3,455,095",17.13%,9.64
SVV,"1,286,706",18.03%,7.79
CAVA,"4,808,760",18.50%,4.80
GPRE,"2,518,055",18.92%,9.44
WTI,"5,918,491",19.64%,12.20
FWRD,"918,929",19.99%,7.73
JBLU,"23,061,245",20.03%,3.10
FLG,"5,298,795",20.18%,11.97
UA,"11,694,993",20.19%,3.90
BGS,"3,059,918",20.21%,8.30
CHTR,"3,342,637",20.22%,8.75
KNTK,"1,359,989",20.96%,7.67
ELVN,"1,096,245",21.08%,9.23
DK,"1,841,782",21.28%,8.37
TWST,"2,064,825",21.36%,8.38
CACC,"252,437",22.04%,9.22
AAP,"1,953,631",22.27%,7.38
CAKE,"1,225,951",22.28%,8.83
ENPH,"10,963,855",22.81%,3.98
EZPW,"2,566,488",24.60%,14.01
DCH,"9,099,174",24.64%,6.34
ULCC,"5,920,674",25.68%,5.65
UAA,"28,221,961",33.50%,5.35
