Ticker,Volume,Short Float,Short Ratio
TOI,"2,746,421",15.69%,3.51
TNXP,"1,959,822",16.17%,1.14
UAVS,"8,601,477",16.38%,0.28
TR,"286,140",17.10%,12.66
MAXN,"225,562",17.91%,5.41
SMCI,"72,084,749",17.93%,2.04
NRGV,"1,993,065",18.09%,9.81
TRML,"435,465",18.42%,11.47
GES,"764,092",18.45%,7.35
STEM,"2,342,957",18.75%,3.22
UPB,"760,548",19.52%,8.97
CAKE,"1,382,675",19.82%,6.75
BMBL,"3,284,761",21.23%,4.66
OPEN,"221,189,449",21.92%,0.84
MBOT,"5,930,584",22.12%,4.95
BE,"12,953,740",22.30%,6.79
CVM,"1,358,176",22.88%,2.02
FFAI,"19,618,861",23.78%,1.53
OMER,"5,102,555",24.29%,12.13
NBR,"826,895",24.34%,4.34
ASPI,"4,661,551",24.89%,4.01
RIOT,"47,897,800",25.17%,2.07
SVRA,"2,776,065",25.42%,12.01
VKTX,"3,789,858",26.22%,7.76
SPRY,"2,062,530",26.23%,10.58
ENVX,"8,226,879",26.96%,6.83
DNTH,"632,054",27.35%,20.13
DNUT,"11,034,399",27.54%,2.83
CHRS,"2,479,716",29.63%,22.57
SNBR,"1,005,652",29.76%,8.64
MBX,"618,992",32.21%,14.70
LQDA,"3,025,237",32.54%,9.34
FLWS,"1,974,375",38.56%,15.81
RILY,"3,193,086",40.97%,5.58
