Ticker,Volume,Short Float,Short Ratio
VSXY,"3,135,377",15.75%,4.94
EVCM,"184,378",15.84%,12.42
HOG,"5,271,712",16.39%,6.11
XNCR,"2,862,466",16.49%,13.86
DYN,"2,528,742",16.57%,12.17
CLBK,"16,768,426",16.61%,8.30
ZD,"638,379",17.54%,9.23
TTAN,"2,372,161",17.64%,6.49
WU,"10,580,761",17.68%,6.11
ESTA,"732,978",17.72%,7.90
CDNA,"1,183,823",17.85%,9.50
BRZE,"3,208,243",17.88%,5.51
EVER,"1,042,111",18.65%,5.52
CAKE,"1,428,980",18.97%,6.65
IKT,"1,072,648",19.51%,22.14
FA,"4,128,447",20.66%,10.10
NUVB,"11,945,146",21.43%,8.96
MMED,"1,158,034",25.31%,6.96
IOVA,"16,361,516",25.92%,6.62
CBRL,"1,252,039",27.40%,4.82
STIM,"7,016,336",31.32%,3.45
ZBIO,"885,361",35.17%,16.41
PATH,"170,355,902",35.55%,2.81
LCID,"21,051,670",36.92%,3.06
