Ticker,Volume,Short Float,Short Ratio
KMTS,"694,828",15.19%,9.16
WRAP,"387,104",15.20%,16.49
LMND,"2,022,397",15.44%,6.54
TRVI,"2,555,150",15.50%,7.56
INMB,"709,813",15.53%,5.51
SKIN,"6,814,838",15.70%,4.78
PSNL,"4,426,679",15.74%,3.82
RARE,"2,771,748",15.96%,6.61
XNCR,"1,145,770",16.11%,13.73
KYTX,"1,195,191",16.11%,5.45
REYN,"1,314,570",16.45%,7.28
REAX,"4,523,350",16.71%,6.73
FA,"1,747,630",16.94%,8.93
KURA,"1,917,031",16.98%,8.36
DYN,"2,528,304",17.05%,12.34
MDGL,"468,219",17.44%,11.64
IMNM,"2,189,091",17.67%,13.95
HNGE,"1,775,351",17.71%,3.26
ZD,"675,362",17.86%,9.25
DMAC,"287,660",17.96%,24.22
GRAL,"834,482",18.08%,9.83
KOD,"943,475",18.10%,14.00
ABX,"606,094",18.22%,10.11
APGE,"2,501,540",18.41%,4.26
BCRX,"7,426,923",18.91%,8.00
IKT,"1,079,524",18.98%,22.19
MBX,"1,469,593",19.40%,7.53
TXG,"3,099,753",19.54%,7.24
RGNX,"2,386,018",19.81%,5.05
VERA,"3,394,859",20.25%,8.05
BHVN,"3,811,041",20.33%,9.08
VOR,"2,135,389",20.61%,5.05
VKTX,"3,309,724",20.66%,9.68
LBRX,"305,712",20.73%,16.23
PENG,"13,715,171",20.99%,3.30
RCKT,"4,050,207",21.14%,8.52
DLO,"3,480,292",21.31%,5.70
CHRS,"1,610,288",22.12%,22.35
PHAT,"1,383,778",22.19%,9.25
TDUP,"3,159,569",22.37%,9.83
TECX,"278,848",22.70%,10.55
SAH,"296,268",22.99%,9.61
ABSI,"6,593,038",23.01%,5.60
RLAY,"4,270,909",23.25%,9.02
SNDX,"4,009,081",24.59%,10.72
MPLT,"374,019",24.80%,5.18
IMRX,"1,587,502",25.12%,9.28
BCAX,"867,323",27.05%,14.86
VSTM,"4,347,123",27.45%,8.75
SEZL,"870,936",27.84%,6.51
ABEO,"1,793,295",28.12%,12.02
OMDA,"1,251,677",28.14%,7.14
NGNE,"532,903",28.29%,18.16
CRVS,"2,610,904",28.32%,11.75
KPTI,"737,205",28.51%,11.73
GLUE,"1,780,395",29.23%,15.42
SVRA,"2,065,044",29.43%,19.77
BEAM,"3,925,691",30.20%,12.66
ZBIO,"795,845",32.10%,15.69
GRND,"3,196,161",32.63%,5.19
ORIC,"2,175,811",33.64%,12.69
PRME,"11,408,372",34.26%,11.75
SLS,"15,098,780",34.47%,7.14
