Ticker,Volume,Short Float,Short Ratio
TERN,"3,603,373",17.35%,7.62
CGON,"1,883,149",17.45%,7.31
BCRX,"8,868,047",17.55%,8.12
APGE,"3,480,796",17.79%,9.00
SEDG,"4,628,325",18.42%,3.36
TSSI,"2,053,767",19.43%,3.23
CVI,"1,596,300",19.55%,4.11
DNTH,"1,142,605",21.30%,8.13
NN,"1,862,244",23.39%,14.84
ANDG,"481,583",23.86%,7.64
TRON,"2,914,718",23.89%,8.25
AZ,"794,329",24.41%,7.26
PBF,"5,830,811",25.40%,6.09
BKSY,"1,839,191",25.61%,5.33
HPK,"1,152,566",36.37%,7.54
TNGX,"3,533,264",49.87%,14.63
AIRS,"3,773,043",64.72%,1.40
