Ticker,Volume,Short Float,Short Ratio
PTLO,"1,589,296",15.03%,7.01
HRMY,"3,918,712",15.15%,8.94
GPRO,"11,485,767",15.17%,3.22
SLDP,"17,960,473",15.35%,5.14
AUR,"20,612,827",15.54%,10.25
OPEN,"76,663,792",15.55%,2.91
EVH,"4,960,881",15.64%,5.04
PBI,"9,820,997",15.74%,8.56
DMRC,"348,541",15.75%,10.60
LFMD,"2,058,372",15.75%,5.34
SLG,"1,634,286",15.93%,7.84
DFTX,"2,620,427",16.03%,8.49
ERAS,"8,882,423",16.04%,5.66
PALI,"10,774,847",16.14%,6.80
GFS,"5,682,182",16.38%,4.33
QBTS,"36,937,686",16.42%,2.09
KURA,"1,533,651",16.58%,9.61
PACB,"8,033,110",16.82%,7.13
DOCN,"4,617,304",17.05%,2.87
INV,"3,863,557",17.48%,4.94
TDOC,"6,180,865",17.59%,5.15
AESI,"5,619,004",17.90%,3.72
MP,"6,702,121",17.94%,3.89
TRVI,"2,309,744",18.55%,10.29
PENG,"2,259,698",18.98%,7.40
TGTX,"2,078,878",19.54%,15.74
CCCC,"3,319,387",19.78%,6.61
CORZ,"24,300,207",20.56%,5.13
INBX,"698,020",20.70%,9.95
AEVA,"2,037,051",20.80%,4.69
NVTS,"87,309,435",20.88%,2.04
URGN,"1,115,139",20.91%,10.61
FLG,"5,348,330",20.99%,12.16
DNUT,"4,470,618",21.03%,8.37
HRTX,"2,406,025",21.24%,22.78
WT,"4,423,033",21.26%,6.87
HTZ,"35,197,114",21.45%,7.76
PHAT,"1,423,681",21.53%,10.22
ABCL,"3,841,249",21.69%,14.12
BKSY,"2,007,520",22.32%,4.00
IONQ,"38,065,604",22.64%,3.24
CELC,"751,566",23.27%,11.85
BCAX,"613,831",23.35%,17.69
RUM,"3,127,331",23.46%,11.67
RHI,"3,704,173",23.63%,6.62
NN,"2,611,790",23.69%,11.44
SANA,"4,050,640",23.70%,13.81
TWST,"1,657,918",24.15%,11.00
ALMU,"1,945,002",25.07%,3.40
SG,"4,484,553",25.56%,5.92
SMMT,"10,183,973",25.81%,12.97
CAR,"12,187,187",26.08%,5.27
AVBP,"630,196",26.86%,14.88
OXM,"325,949",26.91%,11.58
CADL,"3,509,691",27.05%,11.57
ABSI,"6,074,651",28.13%,10.34
KSS,"6,681,454",28.53%,6.52
QUBT,"17,889,125",28.98%,4.37
BETR,"738,127",29.10%,5.20
ENVX,"6,742,930",29.29%,8.96
WEST,"636,329",29.74%,19.43
NTST,"1,670,832",29.97%,19.70
FLWS,"4,419,620",30.16%,15.34
LOVE,"411,377",30.48%,13.30
LUNR,"14,386,155",31.06%,2.50
BYND,"388,873,643",31.61%,3.68
VELO,"12,274,175",31.95%,1.85
HIMS,"58,671,755",34.46%,1.90
LFVN,"187,007",34.74%,20.57
NTLA,"4,303,801",34.75%,9.30
FRMM,"2,091,861",35.60%,2.68
WOLF,"9,837,346",43.40%,6.00
GRPN,"8,753,167",52.99%,9.51
