Ticker,Volume,Short Float,Short Ratio
RR,"79,381,708",15.02%,0.57
INMB,"728,729",15.64%,7.46
VSCO,"4,310,984",15.91%,4.54
KULR,"3,088,151",15.92%,3.22
WRAP,"2,788,598",16.00%,15.25
IMNM,"1,531,874",16.08%,9.45
SLDB,"1,596,647",16.21%,8.37
VELO,"691,433",16.52%,2.18
BKV,"1,257,728",17.04%,3.20
URBN,"2,288,118",17.24%,4.46
NRDY,"1,474,011",17.35%,10.83
MBX,"2,128,738",17.48%,3.35
IMCR,"374,490",17.51%,28.11
ANGI,"1,055,555",17.55%,6.24
ASTS,"24,592,414",17.60%,3.00
TRVI,"2,803,945",17.65%,6.84
EBS,"1,124,805",18.36%,8.57
SYRE,"932,663",18.47%,14.10
BCRX,"6,714,046",18.70%,7.60
APGE,"992,025",19.79%,10.61
SANA,"11,156,050",19.96%,6.82
ASAN,"5,547,572",19.99%,4.29
SPCE,"4,425,194",20.07%,3.18
HRTX,"2,743,531",20.15%,20.54
VERA,"1,900,361",20.48%,6.28
NOG,"2,085,304",21.18%,9.64
CRMT,"457,990",21.21%,8.51
ZIM,"7,334,400",21.35%,5.27
SVRA,"4,955,521",21.40%,10.18
TTEC,"395,375",21.91%,13.36
SERV,"19,575,796",21.97%,1.31
BEAM,"2,772,202",22.45%,8.20
ALT,"3,100,616",22.50%,8.09
SKIN,"2,178,137",22.66%,16.63
CAL,"1,276,194",23.14%,6.95
ONDS,"106,046,536",23.25%,1.11
KROS,"1,190,993",23.88%,7.30
FLNC,"10,233,914",25.49%,2.94
AEVA,"4,445,515",25.91%,4.45
LUNR,"8,447,874",26.90%,4.04
AVBP,"944,094",27.54%,21.35
CAPR,"8,550,368",35.22%,5.68
KALV,"2,793,976",38.26%,10.29
SNBR,"727,847",40.76%,9.99
