Ticker,Volume,Short Float,Short Ratio
WKHS,"3,092,896",15.03%,0.79
KAI,"151,439",15.13%,13.09
LENZ,"642,182",15.13%,12.92
MNMD,"1,329,447",15.19%,10.02
PENG,"1,437,728",15.20%,9.33
TNXP,"1,031,663",15.37%,1.28
CLF,"39,965,250",15.41%,2.42
COLL,"324,239",15.64%,15.28
ALB,"5,716,195",15.97%,5.31
UUUU,"31,964,860",16.01%,3.31
KALV,"1,983,682",16.25%,6.38
RAPP,"260,122",16.27%,16.72
DAWN,"1,608,192",16.89%,9.39
CADL,"1,096,644",17.06%,6.60
AAP,"3,442,265",17.10%,3.27
QS,"51,768,146",17.14%,3.10
H,"1,185,658",17.18%,6.58
IMCR,"532,680",17.20%,20.98
DPRO,"1,809,947",17.32%,0.91
CSIQ,"2,639,232",17.36%,4.67
KLG,"37,322,474",17.46%,11.20
COGT,"6,140,617",17.57%,6.66
ARQT,"2,338,077",17.79%,9.20
PROK,"72,880,224",17.84%,1.65
ULCC,"5,672,290",18.08%,3.76
MRNA,"11,664,067",18.56%,5.88
UPB,"410,864",18.64%,8.94
PGEN,"1,826,448",18.65%,15.30
HTZ,"24,726,909",18.90%,3.23
CAR,"1,787,736",19.08%,4.36
CBRL,"1,122,534",19.48%,4.06
CIFR,"44,639,516",19.86%,1.72
GOOS,"1,891,701",19.87%,7.71
LEU,"1,515,303",21.02%,2.98
LXRX,"5,253,342",21.22%,7.50
DFH,"640,015",21.67%,13.80
PBF,"3,825,029",22.00%,5.41
NMRA,"1,441,014",22.30%,13.44
ETSY,"7,010,948",22.81%,4.26
SMLR,"1,493,927",23.35%,2.60
W,"5,577,211",23.38%,4.21
PGY,"2,707,537",23.62%,4.31
BKKT,"592,827",23.72%,3.12
CHH,"541,811",23.90%,14.25
AEHR,"2,569,954",24.07%,7.00
BEAM,"3,301,642",24.21%,10.57
BE,"18,532,807",24.82%,8.35
BLNK,"3,748,681",25.43%,7.00
MP,"85,875,476",25.84%,3.17
CRSP,"4,581,376",25.86%,8.17
YOU,"1,994,028",25.99%,12.68
SCVL,"622,425",27.73%,9.39
BBAI,"143,469,583",27.93%,0.66
MARA,"44,713,767",28.14%,2.18
ENVX,"8,598,256",28.29%,8.44
NN,"1,997,772",28.41%,14.16
PCT,"4,055,253",29.18%,13.01
IRBT,"2,742,051",29.21%,3.47
DNTH,"645,306",29.96%,21.90
WULF,"63,468,590",30.48%,2.05
AVXL,"1,099,759",30.55%,28.69
SOUN,"62,349,713",34.12%,3.70
SANA,"5,645,467",34.73%,10.15
PRME,"6,026,482",35.79%,6.30
RXRX,"28,414,745",36.32%,4.60
SYM,"2,776,973",36.84%,9.57
IEP,"755,942",40.10%,15.71
KSS,"10,002,354",46.95%,5.34
ZBIO,"256,263",48.14%,28.07
RILY,"1,484,495",49.79%,8.08
