Ticker,Volume,Short Float,Short Ratio
HUT,"9,853,439",15.28%,1.92
TROX,"4,593,304",15.59%,4.27
INOD,"2,154,254",15.70%,3.58
SRFM,"15,826,808",15.88%,2.22
CAVA,"6,249,262",16.57%,4.04
UMAC,"5,914,390",16.68%,1.69
RES,"3,313,619",17.20%,10.63
AZ,"1,118,883",17.58%,5.42
WT,"3,448,189",17.63%,7.47
HROW,"1,386,951",18.07%,8.22
ETSY,"4,106,620",18.13%,4.61
CAKE,"1,648,753",18.62%,6.90
CNXC,"1,062,019",18.86%,8.69
FTK,"867,450",19.29%,7.17
NBR,"638,434",20.38%,4.96
AMKR,"7,940,430",20.85%,2.49
APGE,"1,160,453",21.01%,9.54
BBW,"554,315",21.32%,6.51
RCAT,"19,597,216",21.45%,2.26
UA,"7,260,135",21.52%,4.98
ONDS,"141,548,512",21.56%,0.93
CHH,"1,597,233",22.11%,8.67
SOC,"10,601,529",22.80%,3.19
LUNR,"12,790,667",23.21%,2.86
RH,"1,434,244",24.17%,3.67
GLSI,"374,468",24.61%,5.49
LEU,"1,913,386",25.39%,3.56
ASTS,"20,504,190",26.45%,2.77
UPST,"9,145,908",27.12%,3.88
SLS,"22,326,446",28.69%,6.49
UAA,"12,811,445",29.23%,5.30
RDW,"28,020,253",37.78%,2.31
