Ticker,Volume,Short Float,Short Ratio
DAWN,"3,241,649",15.04%,7.51
QMCO,"5,394,992",15.04%,1.34
LAC,"189,011,087",15.06%,1.16
SKYE,"660,333",15.17%,7.02
CAMT,"782,554",15.26%,9.98
ARQT,"2,660,110",15.32%,9.23
ODP,"1,248,288",15.33%,6.05
DNA,"2,562,727",15.48%,3.81
HUT,"7,159,968",15.55%,2.59
NRGV,"2,832,784",15.61%,5.62
IONQ,"37,514,032",15.67%,1.91
BTSG,"3,985,280",15.80%,5.72
CAN,"128,605,315",15.85%,0.96
WRAP,"530,930",16.04%,17.28
GOLF,"585,738",16.07%,12.14
ACLX,"924,551",16.23%,13.78
UAMY,"12,190,200",16.55%,2.45
EZPW,"1,013,336",16.59%,11.82
RCUS,"1,357,711",16.66%,13.90
GEVO,"8,160,495",16.71%,6.49
HZO,"622,430",16.81%,8.98
CRNX,"1,384,663",16.94%,11.57
MVIS,"11,089,771",17.08%,8.03
PACB,"7,332,495",17.23%,6.56
CIFR,"66,732,347",17.23%,1.31
OCGN,"12,121,169",17.60%,13.68
TR,"210,165",17.64%,14.57
SKYT,"2,401,026",17.72%,3.47
CRVS,"1,345,299",17.78%,16.69
QUBT,"118,092,078",18.03%,1.20
OSCR,"33,746,813",18.26%,1.43
BCAX,"428,340",18.33%,14.67
ACHR,"108,189,635",18.66%,2.94
IMNM,"1,916,220",18.77%,13.33
SPCE,"7,114,281",19.00%,3.00
RCAT,"35,553,830",19.14%,1.81
BE,"13,142,221",19.16%,3.27
QBTS,"89,647,624",19.17%,1.37
CSIQ,"2,146,748",19.26%,5.64
BLNK,"13,606,551",19.38%,5.38
TSHA,"18,088,174",19.51%,8.23
ABCL,"8,925,574",19.68%,7.93
TARS,"1,319,924",19.77%,11.63
ETSY,"7,491,602",20.10%,3.28
KULR,"6,678,329",20.11%,3.65
ASTS,"16,657,245",20.21%,3.86
TMC,"10,551,380",20.42%,2.96
PLSE,"503,975",20.44%,13.90
CLSK,"39,559,077",20.48%,2.25
OMER,"1,228,814",20.76%,12.27
PRME,"4,834,318",20.86%,4.53
RIOT,"40,112,045",21.68%,1.88
SPWR,"3,240,176",21.68%,12.80
BKSY,"2,688,265",22.01%,3.22
TWST,"1,965,246",22.24%,8.44
EVGO,"5,561,349",22.70%,7.02
MVST,"12,694,484",22.95%,5.07
LAZR,"13,812,601",23.16%,3.05
NGNE,"466,555",23.41%,20.22
BKKT,"5,107,539",23.41%,1.23
CTMX,"3,779,023",23.60%,9.07
ARCT,"1,682,485",23.92%,9.85
ARRY,"8,231,423",25.27%,5.02
BTDR,"11,893,959",25.39%,5.18
ABSI,"7,184,092",25.40%,6.15
SERV,"10,448,635",25.46%,1.63
VUZI,"3,355,342",25.75%,8.27
HUMA,"9,205,064",26.12%,7.90
SPHR,"1,360,105",26.31%,7.15
CRSP,"3,661,580",27.65%,8.24
NNE,"4,737,451",27.93%,2.32
NVTS,"33,934,676",28.11%,2.04
SEI,"2,506,751",28.18%,4.15
FLNC,"8,820,355",28.74%,4.07
IRBT,"4,221,845",29.14%,4.71
DDD,"5,742,818",29.32%,9.05
NUVB,"7,071,271",29.38%,11.49
MARA,"60,512,886",29.71%,1.96
AVXL,"1,863,955",29.94%,23.14
AI,"14,840,438",30.30%,4.11
EOSE,"24,668,453",30.55%,5.35
SOUN,"74,720,236",32.43%,1.96
PLUG,"496,376,355",32.53%,4.67
MPW,"9,987,082",33.31%,18.00
NTLA,"5,775,945",33.61%,6.51
DPRO,"12,159,659",36.40%,0.39
AIRS,"1,131,003",37.99%,7.98
RXRX,"48,811,012",39.66%,5.03
