Ticker,Volume,Short Float,Short Ratio
GTLB,"17,601,567",15.17%,2.91
MMED,"2,964,660",15.30%,4.28
VOYG,"2,088,245",15.51%,4.05
DMRC,"347,653",15.63%,10.48
SMCI,"49,568,036",15.69%,1.99
IREN,"58,672,172",15.71%,1.21
LRN,"865,875",16.14%,8.79
CHPT,"854,783",16.21%,7.27
SDGR,"1,607,065",16.21%,7.70
CIFR,"37,571,954",16.46%,2.16
CLPT,"733,367",16.90%,6.57
BBNX,"1,045,963",17.07%,5.75
RZLT,"5,220,255",18.14%,6.94
QURE,"2,904,346",18.20%,3.96
NVTS,"111,339,119",18.23%,1.27
ABCL,"6,909,879",18.30%,7.38
AISP,"656,730",18.66%,8.75
DBI,"744,078",18.75%,10.33
RIVN,"51,430,372",18.94%,5.01
VSXY,"6,354,392",19.11%,4.97
SAIL,"7,733,418",19.22%,3.67
PENG,"3,248,005",19.56%,4.30
TXG,"3,374,313",19.64%,8.64
SVV,"2,048,645",19.89%,6.30
RLAY,"3,724,911",20.12%,7.88
IONQ,"30,274,502",20.14%,2.48
ASPI,"6,222,053",20.44%,4.49
PACB,"6,806,612",20.96%,9.75
TE,"40,642,554",21.63%,2.04
PSNL,"2,904,081",22.16%,6.58
PK,"8,374,484",22.30%,9.85
KSS,"5,764,302",24.05%,4.67
CADL,"2,088,704",24.91%,8.30
FLNC,"12,659,306",25.13%,2.97
XRX,"7,242,287",26.07%,4.79
ENVX,"7,129,720",26.82%,7.62
BRUN,"3,833,994",27.29%,3.70
TWST,"1,430,560",27.82%,12.51
KALV,"6,431,360",27.91%,3.66
PCT,"6,217,240",28.58%,10.87
TRIP,"4,523,880",29.74%,8.43
REPL,"8,988,210",31.03%,3.36
DDD,"5,104,726",31.12%,11.36
CLSK,"22,415,496",34.12%,4.00
LFVN,"887,089",34.23%,14.19
AI,"18,375,979",35.39%,9.16
BTDR,"14,076,292",41.41%,6.60
