Ticker,Volume,Short Float,Short Ratio
BF-B,"5,278,328",15.00%,10.64
NUTX,"225,946",15.29%,5.12
VSCO,"2,985,910",15.56%,4.21
AMCX,"647,810",15.63%,12.51
FA,"896,842",15.76%,15.30
KYTX,"1,989,569",16.11%,3.52
GIII,"703,771",16.83%,14.14
ESTA,"776,018",17.09%,9.73
GLUE,"3,005,181",17.11%,6.46
IMNM,"3,473,202",17.11%,9.38
PCRX,"872,430",17.19%,10.90
RLAY,"2,623,665",17.76%,11.36
WLK,"2,460,019",18.85%,4.35
CZR,"9,541,534",19.27%,3.90
APGE,"916,732",19.59%,9.92
VERA,"1,925,271",20.28%,6.72
IMVT,"2,658,247",20.32%,8.42
DBI,"1,458,879",22.95%,7.79
SLS,"7,282,354",23.58%,7.94
TTEC,"424,662",24.22%,14.70
GLSI,"271,757",24.47%,11.30
SEZL,"1,284,416",24.94%,4.53
RILY,"24,948,721",25.11%,7.18
SPHR,"1,374,631",26.33%,7.08
FLWS,"2,747,765",31.18%,5.98
