Ticker,Volume,Short Float,Short Ratio
RLAY,"2,611,940",15.12%,8.51
OCGN,"12,073,077",15.36%,9.64
LITE,"7,799,670",15.68%,2.29
PROK,"1,089,861",15.68%,15.87
EOLS,"10,521,464",15.71%,7.49
INGM,"1,999,173",16.52%,7.47
BCRX,"4,910,856",17.51%,9.20
AEHR,"2,580,465",17.76%,4.20
CGON,"1,083,591",17.83%,8.99
DK,"2,007,190",18.65%,7.32
WTI,"5,743,579",19.40%,7.70
TRVI,"2,099,667",19.44%,10.17
NOG,"2,756,481",19.67%,8.33
EVH,"3,481,958",19.72%,6.27
MRNA,"22,422,232",19.75%,6.06
GEMI,"5,187,866",19.85%,4.00
GPRE,"1,762,382",19.91%,9.84
ANAB,"1,100,379",21.84%,12.58
PBF,"6,880,066",21.88%,5.89
DNTH,"1,586,565",22.49%,10.83
AVTX,"847,796",22.65%,9.47
HNGE,"1,686,603",22.81%,3.30
XTIA,"4,814,047",22.85%,3.83
NTST,"1,677,944",25.74%,18.18
PLUG,"128,871,069",26.05%,3.46
AVBP,"680,557",26.10%,15.26
ABR,"5,911,376",27.01%,11.44
BCAX,"786,374",27.74%,16.41
BKV,"1,025,869",27.94%,4.95
SPHR,"1,105,842",27.96%,9.95
NGNE,"215,115",29.17%,20.19
GOGO,"2,892,222",29.23%,8.03
TECX,"483,346",36.16%,9.74
IOVA,"24,488,419",37.37%,9.83
