Ticker,Volume,Short Float,Short Ratio
MIRM,"526,463",15.14%,14.03
NXE,"12,739,011",15.19%,7.89
COGT,"2,130,235",15.21%,9.40
AMTX,"1,651,791",15.37%,8.29
SGMT,"2,382,659",15.50%,2.82
UUUU,"9,835,964",15.80%,3.53
ATYR,"2,831,276",16.00%,8.46
CLB,"904,116",16.27%,15.55
RDDT,"23,096,871",17.06%,2.30
RES,"1,635,494",17.68%,10.78
SEZL,"1,190,436",18.33%,2.86
WHR,"1,718,550",18.38%,7.96
LEU,"1,126,082",18.71%,3.18
RIG,"42,924,778",19.34%,3.32
MUR,"3,334,395",19.50%,7.94
PACB,"9,671,516",19.69%,5.99
NVTS,"33,592,956",19.94%,0.90
GALT,"11,536,346",20.50%,41.82
SMR,"15,014,373",20.87%,2.34
NBR,"623,797",21.07%,3.84
VSAT,"3,376,595",22.11%,7.68
XTIA,"16,281,903",22.25%,0.65
PBF,"5,929,981",23.05%,5.62
MP,"13,962,373",23.24%,3.42
QUBT,"47,103,372",23.72%,1.03
OCGN,"5,183,970",23.88%,15.22
WTI,"6,084,549",24.54%,14.65
EVGO,"6,677,602",24.75%,7.18
CRSP,"3,876,253",24.81%,9.54
CRK,"4,538,735",26.07%,9.47
NN,"1,822,519",26.39%,13.05
TRUP,"625,095",27.02%,14.48
TNGX,"2,321,311",27.08%,7.19
ALT,"4,080,161",27.39%,8.45
ASTS,"12,708,373",28.56%,4.16
AVBP,"347,325",29.48%,21.75
PCT,"20,872,481",29.73%,16.67
VERV,"83,286,256",30.18%,5.72
BMEA,"2,182,489",31.60%,5.42
NTLA,"9,930,706",32.37%,7.46
FLNC,"13,113,756",33.45%,5.51
SANA,"5,158,591",35.28%,11.57
ACDC,"1,527,655",36.25%,4.58
SYM,"1,870,842",36.44%,12.18
AIRS,"602,220",61.14%,12.57
