Ticker,Volume,Short Float,Short Ratio
PAG,"443,119",15.01%,8.52
DLO,"2,401,567",15.50%,8.41
FIP,"5,576,591",15.56%,18.08
AUR,"59,284,104",15.58%,10.34
KNTK,"1,486,709",15.63%,4.87
SLNH,"46,572,506",16.05%,2.34
H,"1,505,610",16.05%,6.92
SKLZ,"9,072,636",16.70%,1.58
TDOC,"9,951,603",16.75%,5.17
AMCX,"735,013",17.10%,11.53
GPRO,"11,656,831",17.22%,3.46
PENG,"1,757,685",17.56%,6.44
AEHR,"3,052,128",18.71%,2.11
EZPW,"980,252",18.89%,11.36
QURE,"4,224,589",19.26%,3.51
CAKE,"2,724,399",19.31%,6.66
PK,"5,870,352",19.35%,9.10
AAP,"1,809,828",19.48%,6.83
PCRX,"1,049,658",19.58%,10.34
PRCH,"4,402,924",20.29%,10.07
ABCL,"5,969,980",20.39%,11.58
INBX,"539,870",20.87%,7.35
SAH,"456,408",20.96%,8.47
VUZI,"3,517,618",21.63%,16.21
RILY,"1,738,271",22.10%,6.89
DXYZ,"2,093,884",22.12%,1.89
DRVN,"6,495,833",23.11%,6.94
NVTS,"24,495,783",23.32%,1.99
UAMY,"21,267,978",23.99%,2.38
CWH,"7,099,667",24.68%,4.31
ABSI,"5,573,826",26.11%,8.85
RUM,"5,133,756",26.46%,12.28
XRX,"60,280,531",26.83%,9.48
DDD,"3,189,718",27.80%,14.44
MARA,"82,722,574",28.22%,2.17
ALMU,"1,962,918",29.73%,3.45
WULF,"39,730,104",30.53%,3.01
SEI,"2,859,181",30.62%,4.48
INDI,"9,229,779",30.73%,12.76
CLSK,"26,546,554",34.27%,3.86
WOLF,"6,245,506",42.73%,4.52
KALV,"13,633,725",51.90%,9.27
