Ticker,Volume,Short Float,Short Ratio
COGT,"2,012,791",15.21%,9.67
SGMT,"9,066,598",15.50%,3.57
RCAT,"11,988,596",15.82%,2.08
LWLG,"1,199,640",17.14%,24.41
LRMR,"3,596,439",17.48%,5.38
USAR,"6,400,323",18.43%,0.69
TRML,"383,660",18.85%,8.55
RIG,"50,759,607",19.34%,3.38
NVTS,"47,597,761",20.44%,0.96
SMR,"18,080,585",20.87%,2.42
PLAY,"2,093,850",21.00%,5.37
RDFN,"7,957,875",21.86%,3.77
VSAT,"5,010,398",22.09%,8.23
XTIA,"18,671,180",22.25%,0.86
FFAI,"23,291,933",22.31%,2.75
ETSY,"12,060,008",22.81%,4.68
CMPO,"1,069,134",22.91%,12.53
TBCH,"416,602",22.91%,6.32
MP,"22,972,053",23.24%,3.91
SYRE,"704,318",23.56%,19.63
QUBT,"59,853,652",23.78%,1.07
OCGN,"4,564,145",23.88%,15.74
PGY,"2,303,738",24.50%,4.91
WTI,"2,075,186",24.54%,16.73
AEHR,"1,098,609",26.00%,9.88
CRK,"2,394,662",26.09%,9.58
INDI,"9,898,394",26.76%,14.12
TNGX,"2,196,489",27.08%,7.41
APGE,"1,037,516",27.20%,14.44
ALT,"6,605,647",27.39%,8.30
RDW,"1,916,529",28.49%,3.91
PHAT,"3,575,664",29.01%,4.19
AVBP,"672,635",29.48%,23.23
PCT,"3,023,999",29.73%,16.84
DYN,"2,504,530",29.95%,10.29
APLD,"74,383,457",39.52%,1.35
RKT,"15,133,036",41.67%,4.40
AIRS,"1,036,890",59.31%,12.96
