Ticker,Volume,Short Float,Short Ratio
IMCR,"790,814",15.48%,15.07
EMPD,"1,471,185",15.57%,6.34
PRGO,"3,690,529",16.05%,6.53
AMR,"346,157",16.47%,5.67
AMPH,"550,979",17.16%,10.99
DUOL,"2,145,071",17.85%,5.38
SDGR,"1,508,067",18.05%,9.39
ASMB,"301,100",18.08%,9.78
PCRX,"729,463",19.11%,13.34
PRCH,"1,831,119",19.24%,9.84
GPRO,"500,399,093",19.90%,2.61
CVI,"1,097,017",20.13%,5.97
XNCR,"1,475,981",20.28%,12.75
DFDV,"1,545,293",21.15%,4.71
TGTX,"3,198,318",21.26%,12.30
CNXC,"2,391,548",22.36%,6.29
KVYO,"10,720,382",22.48%,4.44
MMED,"6,075,888",22.59%,4.85
ASST,"11,096,480",23.12%,3.64
ARCT,"1,368,244",25.05%,8.40
CABA,"6,647,981",28.55%,9.26
NVAX,"10,040,575",30.31%,11.46
CRK,"11,246,792",31.27%,10.20
METC,"2,476,447",33.91%,7.43
