Ticker,Volume,Short Float,Short Ratio
LITE,"3,018,446",15.51%,4.20
MCRB,"194,554",15.57%,8.16
SIG,"1,344,512",15.66%,5.91
SBH,"2,632,379",15.91%,8.89
CRMD,"2,551,898",15.97%,4.31
RR,"93,121,272",16.21%,1.47
HUT,"8,821,311",16.34%,2.68
MIRM,"851,353",16.37%,12.21
BLBD,"719,236",16.57%,9.71
TLRY,"142,492,342",17.08%,3.64
GES,"1,009,404",17.46%,5.29
RAPP,"427,328",17.48%,17.02
JBGS,"1,384,969",17.72%,8.32
MBOT,"5,983,936",18.08%,3.86
ULCC,"4,403,198",18.57%,3.83
FLG,"8,768,271",18.60%,8.36
ARRY,"11,625,535",19.39%,3.55
PGEN,"9,756,577",19.53%,4.39
MDGL,"427,305",19.73%,10.74
VSAT,"5,639,360",19.78%,6.07
YOU,"1,807,263",20.47%,11.44
FL,"15,053,662",20.58%,5.23
AEHR,"4,138,059",20.99%,3.61
BE,"9,292,509",21.78%,5.36
NN,"2,158,343",21.81%,13.11
VITL,"1,128,155",22.65%,8.30
OPEN,"483,370,294",23.40%,0.65
SVRA,"3,493,657",23.76%,11.33
REAL,"3,579,740",23.76%,6.61
STOK,"1,434,393",24.89%,15.58
CMPO,"1,480,368",25.21%,12.07
KPTI,"176,316",26.72%,13.21
SNDX,"3,582,225",28.68%,11.16
INDI,"6,614,150",28.85%,12.90
RKT,"18,215,061",38.29%,5.30
ASST,"8,297,931",41.36%,1.26
