Ticker,Volume,Short Float,Short Ratio
WKHS,"1,509,882",15.03%,2.34
BYON,"4,519,564",15.08%,2.97
NXE,"15,042,066",15.19%,7.93
AEVA,"2,830,295",15.59%,2.34
SKYE,"2,201,618",15.77%,2.67
ATYR,"2,882,042",15.86%,7.63
UUUU,"11,998,791",16.01%,3.45
ESTA,"649,968",16.18%,8.45
CELH,"8,791,502",16.44%,3.54
OSCR,"20,777,564",16.51%,2.79
HUT,"9,376,875",16.64%,2.38
QS,"194,987,860",17.21%,4.90
SMCI,"72,019,382",17.31%,1.85
QSI,"7,906,704",17.52%,3.43
COGT,"2,216,093",17.57%,9.75
INO,"818,209",17.75%,10.29
LRMR,"1,563,593",17.81%,5.04
CORZ,"90,698,005",18.11%,3.38
GCT,"1,099,712",18.57%,5.06
FWRD,"1,017,902",18.65%,5.30
INOD,"2,995,995",18.85%,2.68
CAR,"3,536,232",19.08%,3.90
SLS,"5,232,142",19.35%,8.47
CBRL,"1,490,416",19.48%,3.91
BMBL,"5,179,009",19.62%,4.21
DLO,"1,722,426",19.71%,11.00
CIFR,"69,134,365",19.94%,2.43
ARCT,"517,208",20.00%,11.05
TSSI,"3,355,191",20.03%,1.15
LEU,"2,563,949",21.02%,3.15
AAOI,"5,623,557",23.29%,2.78
AEHR,"1,750,468",24.05%,9.17
BLNK,"5,651,163",25.11%,7.42
RIOT,"57,453,609",25.48%,2.58
CLSK,"30,264,074",25.58%,2.65
CRSP,"2,675,825",25.86%,9.16
TRUP,"585,769",26.03%,14.00
TNGX,"3,394,171",26.60%,6.34
SPHR,"870,938",27.21%,8.69
INDI,"5,057,668",27.62%,14.16
BBAI,"270,403,104",27.94%,0.91
ENVX,"14,304,282",28.29%,9.61
ASTS,"14,104,945",28.86%,3.78
SPRY,"1,802,195",30.27%,11.06
FLNC,"6,855,546",31.25%,4.87
PRME,"2,642,784",35.77%,8.11
SYM,"2,715,155",36.85%,10.46
RKT,"16,683,840",47.31%,4.72
