Ticker,Volume,Short Float,Short Ratio
REAX,"4,094,463",15.13%,5.79
URGN,"907,828",15.34%,7.68
TDOC,"5,436,385",15.59%,5.75
PEB,"2,836,606",15.83%,6.68
EVCM,"564,692",15.87%,13.48
AGEN,"4,491,064",15.87%,1.58
PSNL,"5,020,701",16.02%,3.49
ALMS,"1,495,226",16.54%,10.57
CLBK,"423,975",16.61%,11.11
SBET,"12,954,399",16.64%,3.62
ERAS,"9,044,043",17.28%,4.68
SYRE,"1,520,637",17.61%,9.53
IMCR,"523,626",17.86%,18.21
IKT,"981,720",19.51%,22.04
MBX,"1,078,723",20.02%,7.29
SAH,"378,302",20.27%,8.10
BBNX,"1,746,679",20.45%,7.02
HNGE,"1,842,497",20.58%,3.65
FA,"4,025,199",20.66%,10.65
ANNX,"8,846,423",20.78%,9.03
BOBS,"1,230,553",20.84%,5.78
CGON,"1,328,737",21.14%,11.46
PK,"6,107,781",21.26%,7.60
AMCX,"616,753",21.94%,13.54
RHI,"2,476,216",22.66%,9.24
VERA,"1,802,156",23.11%,8.58
FBIO,"742,235",23.16%,11.62
SEZL,"954,021",25.11%,6.10
DAVE,"763,854",25.24%,4.13
UA,"3,317,624",25.44%,8.70
IOVA,"43,697,871",25.92%,7.09
ACHC,"3,293,213",26.21%,7.34
SNDX,"2,282,986",27.01%,11.20
ABEO,"1,254,429",27.15%,11.52
OMDA,"1,737,194",28.24%,6.98
UAA,"14,136,463",30.03%,6.64
ORIC,"1,778,132",35.32%,13.69
PATH,"126,663,691",35.52%,3.06
RH,"1,423,132",37.34%,6.24
