Ticker,Volume,Short Float,Short Ratio
NXE,"11,282,499",15.19%,8.54
RNA,"2,778,874",15.22%,10.76
BTU,"7,191,478",15.37%,4.11
METC,"4,072,237",15.42%,2.69
TBBK,"789,594",15.70%,13.99
ELVN,"792,116",15.82%,12.39
REPL,"2,958,754",15.83%,6.81
AMC,"22,870,455",16.01%,5.75
NMRA,"2,452,523",16.13%,8.71
RAPP,"215,146",16.21%,16.37
LENZ,"279,850",16.33%,13.19
IMNM,"1,248,743",16.38%,12.29
TNXP,"2,242,637",16.45%,1.30
UUUU,"28,878,016",16.52%,3.08
UMAC,"7,907,912",16.60%,0.78
TRON,"10,664,158",16.65%,0.22
DPRO,"27,365,605",17.42%,0.53
LITE,"2,919,336",17.61%,5.26
QS,"110,093,663",17.63%,2.64
OZK,"1,852,582",17.79%,21.05
ACHR,"74,200,797",17.81%,2.59
CADL,"1,283,924",17.93%,6.61
RDW,"5,972,713",17.97%,3.02
BKSY,"2,974,513",17.98%,3.21
SLDB,"2,038,890",18.02%,5.83
SGML,"2,858,811",18.17%,6.44
TR,"344,987",18.31%,14.50
POWL,"496,105",19.27%,6.55
SRRK,"1,669,467",19.60%,11.46
MDGL,"361,916",19.75%,11.77
RCAT,"14,591,296",20.23%,1.91
PDYN,"13,319,402",20.35%,1.91
LUNR,"14,680,178",20.40%,3.21
QBTS,"101,475,668",20.51%,0.91
RGTI,"82,637,293",20.67%,1.11
AI,"8,402,120",20.91%,4.34
OPEN,"538,570,786",21.42%,1.50
ATYR,"3,545,318",21.46%,7.45
SERV,"9,453,509",22.02%,1.57
KALV,"1,884,887",22.02%,7.94
PGY,"9,563,484",23.19%,4.13
CIFR,"31,463,310",23.68%,1.87
AEHR,"1,055,178",23.72%,6.46
MVIS,"9,504,230",24.20%,10.84
SMR,"15,533,880",24.29%,2.27
YOU,"2,734,537",24.45%,11.97
ASPI,"8,970,046",24.49%,4.34
ASTS,"15,736,542",24.53%,3.43
CGON,"1,521,730",25.17%,9.10
RIOT,"49,538,606",25.20%,2.29
MP,"41,916,524",25.81%,2.40
SPHR,"751,064",26.12%,9.55
PCT,"4,467,687",26.96%,11.68
ENVX,"12,769,523",27.19%,7.61
BBAI,"204,894,658",27.20%,0.61
FFAI,"27,298,348",27.21%,2.48
SPCE,"17,070,046",27.89%,2.19
SPRY,"1,808,677",28.42%,11.27
INDI,"9,884,816",28.90%,15.18
CRDF,"1,382,360",30.25%,16.14
LCID,"935,935,831",33.00%,3.09
SOUN,"51,797,477",33.14%,3.38
BKKT,"943,524",33.54%,3.64
IOVA,"24,839,093",35.66%,6.70
SYM,"3,565,616",36.76%,8.85
PRME,"5,598,673",38.08%,6.12
RILY,"3,386,875",46.32%,7.11
AIRS,"890,553",49.21%,9.16
