Ticker,Volume,Short Float,Short Ratio
TRML,"292,802",15.05%,12.34
SION,"549,492",15.40%,18.19
UPB,"970,017",15.73%,6.55
WRAP,"388,659",15.76%,25.32
CRNX,"1,767,529",15.96%,16.68
VRDN,"1,095,915",16.03%,15.33
OLMA,"1,821,235",16.06%,12.90
BLBD,"749,021",16.18%,9.00
LITE,"5,216,471",16.47%,4.23
SBH,"2,312,671",16.66%,8.70
NRGV,"3,783,937",16.87%,7.62
TYRA,"344,121",17.01%,19.06
MIRM,"622,165",17.09%,11.56
CLB,"666,021",17.12%,15.84
GIII,"1,327,280",17.28%,8.50
MLYS,"8,642,755",17.31%,6.97
HUT,"11,099,521",17.33%,2.86
RLAY,"2,615,036",17.47%,11.92
IMCR,"516,958",17.63%,26.06
LYFT,"50,578,064",17.89%,3.99
AEO,"22,906,262",18.11%,2.49
TARS,"741,597",19.04%,11.79
APLS,"2,795,666",19.42%,8.86
PRCH,"2,787,289",19.85%,5.93
QURE,"1,472,894",19.99%,8.63
PGEN,"9,352,386",20.94%,4.25
CIFR,"43,973,442",21.38%,1.74
RIVN,"77,055,299",21.52%,4.74
ULCC,"5,549,863",21.71%,4.34
SVRA,"4,373,103",21.98%,14.38
CGON,"1,065,450",21.99%,12.89
AXL,"4,003,287",22.14%,6.49
IMVT,"4,327,077",22.76%,12.46
KRRO,"378,286",23.56%,8.38
OPEN,"299,219,842",24.33%,0.62
STOK,"1,287,852",24.37%,14.63
REAL,"4,624,884",24.58%,6.81
LQDA,"2,897,856",26.23%,6.63
SPHR,"2,615,390",26.84%,10.54
VSTM,"2,862,941",28.23%,6.24
NUVB,"6,462,740",30.00%,11.28
EOSE,"16,657,747",32.48%,5.79
