Ticker,Volume,Short Float,Short Ratio
SYRE,"1,243,201",15.53%,13.78
OCGN,"11,776,503",15.84%,7.88
CZR,"7,001,815",16.06%,4.85
ZD,"1,318,190",16.29%,5.96
LFMD,"2,935,993",16.29%,5.40
CAVA,"3,925,973",16.59%,4.46
ABX,"1,025,487",17.31%,11.02
CGON,"1,599,653",17.45%,7.71
BCRX,"19,844,819",17.55%,9.01
AESI,"3,400,614",18.27%,5.48
TSSI,"1,716,207",18.71%,3.34
GRND,"1,669,908",20.97%,4.83
DNTH,"1,156,449",21.30%,8.07
NBIS,"34,374,003",21.69%,3.41
BMBL,"15,763,066",21.90%,3.91
CYN,"14,607,607",23.50%,0.51
TRON,"2,196,895",23.89%,8.96
SOC,"10,203,918",26.12%,3.63
BCAX,"648,421",29.17%,17.38
TTEC,"1,564,643",33.85%,15.22
HPK,"1,453,824",36.37%,7.69
HIMS,"37,776,192",41.03%,2.76
AIRS,"76,894,315",64.72%,3.32
