Ticker,Volume,Short Float,Short Ratio
BCRX,"5,034,052",15.18%,6.81
AQST,"6,495,034",15.23%,8.59
FSLY,"7,707,847",15.28%,3.44
KOPN,"14,123,597",15.39%,3.92
TLRY,"5,685,481",15.60%,5.27
PLSE,"760,058",15.61%,7.72
HNGE,"2,454,270",16.01%,3.09
IMMX,"1,821,326",16.17%,5.24
XNCR,"1,109,981",16.21%,12.16
TIC,"5,277,897",16.24%,8.31
AIRJ,"1,769,640",16.81%,3.52
TTAN,"2,275,206",16.82%,5.89
FRPT,"1,800,117",17.02%,5.12
SDGR,"1,434,857",17.42%,8.56
TSHA,"4,986,846",17.61%,15.43
OWL,"28,441,888",17.81%,5.27
REAX,"5,943,132",17.98%,6.80
INR,"511,157",18.27%,7.40
VRDN,"3,062,963",18.29%,9.27
DBX,"4,441,972",19.28%,6.55
DOCS,"5,738,315",19.76%,4.45
SGMT,"1,480,438",20.02%,10.37
NN,"11,097,024",20.06%,5.80
SVV,"1,423,637",20.09%,7.25
BOBS,"2,063,676",20.27%,5.80
ABCL,"18,371,187",20.48%,6.20
CAKE,"2,529,309",20.81%,6.56
ACHV,"1,897,590",21.18%,9.09
OMER,"1,888,088",22.09%,8.22
RIG,"56,584,064",25.13%,6.90
CRSR,"3,417,241",25.33%,4.23
OMDA,"1,906,483",26.59%,5.84
ABEO,"2,190,654",27.07%,11.14
ARCT,"821,803",27.67%,14.72
STOK,"1,308,750",29.57%,20.06
CLBK,"11,007,886",30.38%,5.13
PATH,"66,755,550",31.10%,1.97
ZBIO,"1,071,547",33.89%,14.98
HPK,"1,445,040",35.06%,11.87
IBTA,"263,866",36.70%,13.89
RUM,"6,778,805",37.09%,8.45
STIM,"29,110,518",38.87%,4.49
