Ticker,Volume,Short Float,Short Ratio
KURA,"1,886,011",15.27%,7.43
INO,"12,214,799",15.59%,5.56
PLSE,"401,256",15.61%,7.79
IT,"1,629,806",15.68%,6.12
JBIO,"1,478,444",15.96%,7.93
SMCI,"61,990,870",16.23%,1.60
TIC,"2,187,733",16.24%,8.04
LPTH,"6,172,196",16.67%,3.04
AIRJ,"2,796,021",16.81%,3.46
ALOY,"5,130,844",16.99%,3.33
YSWY,"477,405",17.07%,4.72
REAX,"7,007,206",17.83%,6.74
CRWV,"33,337,939",18.02%,2.05
ASMB,"559,108",18.73%,11.05
EIKN,"637,720",19.23%,12.96
AIRO,"1,517,053",19.45%,6.47
MP,"10,815,493",19.54%,4.58
EROC,"4,834,416",19.78%,2.17
SGMT,"2,659,469",20.35%,10.21
ABCL,"12,375,084",20.48%,5.99
UMAC,"15,962,141",20.82%,1.59
WIX,"2,081,150",21.64%,4.93
CADL,"2,069,292",21.85%,7.27
OMER,"3,675,975",22.09%,7.32
ZENA,"7,898,970",22.37%,1.77
EYPT,"2,511,098",22.42%,12.59
VUZI,"2,846,227",22.43%,8.80
FOXA,"7,501,474",22.45%,7.24
BBW,"441,016",23.08%,7.38
RCAT,"18,423,841",23.31%,2.57
PAR,"1,333,724",24.17%,8.49
RIG,"46,825,704",25.13%,6.67
IOVA,"17,507,568",25.41%,6.37
LUNR,"18,909,475",25.46%,2.69
GO,"3,536,496",26.12%,8.24
CCCC,"3,399,046",26.97%,10.05
ARCT,"930,679",27.67%,14.61
NBIS,"29,024,669",29.79%,2.89
INDI,"12,515,240",32.50%,11.51
IBTA,"271,383",36.66%,14.11
RUM,"3,515,585",37.09%,7.87
PROP,"3,376,576",91.33%,7.67
