Ticker,Volume,Short Float,Short Ratio
HUT,"13,516,169",15.10%,1.89
APLS,"3,561,563",15.51%,6.15
AMCX,"453,255",15.65%,12.19
BILL,"4,424,236",15.77%,5.32
SDGR,"1,394,882",16.46%,9.72
SYRE,"1,178,839",16.53%,11.55
OPFI,"852,490",16.73%,5.91
SATS,"4,497,987",16.75%,4.88
MNMD,"2,174,698",16.84%,6.11
PCRX,"735,393",17.19%,10.31
MIRM,"948,496",17.57%,10.42
RLAY,"5,262,826",17.76%,10.96
MRNA,"13,080,819",19.05%,6.29
PGEN,"8,655,604",19.68%,5.95
CADL,"926,062",20.15%,9.71
XPOF,"737,798",21.56%,9.65
CHH,"794,328",21.62%,8.70
ZBIO,"727,801",22.16%,11.33
AAOI,"9,721,901",22.32%,2.74
SLS,"8,742,834",23.58%,7.38
LUNR,"26,938,705",23.81%,3.27
GLSI,"247,241",24.47%,10.11
RUN,"9,148,812",24.51%,6.48
CRDF,"2,309,749",25.41%,18.42
ASTS,"18,327,566",25.41%,2.72
ARRY,"9,446,230",26.59%,6.04
BKSY,"2,982,538",29.33%,4.51
PHAT,"1,258,474",30.80%,11.69
RDW,"25,204,963",34.09%,2.33
IOVA,"14,180,246",35.12%,8.41
