Ticker,Volume,Short Float,Short Ratio
OMDA,"2,107,874",15.01%,2.92
RGNX,"1,466,693",15.08%,8.49
ANAB,"1,390,579",15.10%,4.83
UUUU,"22,393,594",15.12%,3.59
RIOT,"26,121,222",15.21%,2.84
PRMB,"9,926,307",15.23%,7.45
ENOV,"1,940,823",15.26%,8.92
UFPT,"267,206",15.50%,5.26
EVH,"6,179,947",15.55%,5.31
AUR,"48,452,875",15.58%,9.44
PBI,"4,324,114",15.59%,6.83
TRS,"660,826",15.64%,8.24
INO,"9,103,901",15.66%,7.72
SRFM,"8,724,845",15.69%,3.53
COLM,"672,140",15.73%,5.25
LIFE,"2,276,401",15.74%,4.40
DOCN,"6,107,850",15.79%,2.58
ONEW,"340,860",16.03%,12.42
H,"1,312,939",16.05%,6.92
APLS,"6,635,054",16.07%,2.90
SABR,"18,681,291",16.47%,5.28
TDOC,"7,451,839",16.75%,5.34
DEI,"3,587,098",16.76%,10.42
SMCI,"61,092,525",16.84%,2.39
FA,"3,545,042",16.88%,10.57
ESTA,"553,300",17.17%,8.49
ANIP,"399,519",17.44%,10.16
VYX,"5,600,582",17.49%,10.42
PENG,"3,297,168",17.58%,5.94
HZO,"856,854",17.72%,8.82
HUT,"9,226,382",18.14%,3.89
AESI,"5,598,125",18.18%,3.17
GRND,"1,858,253",18.67%,4.80
MP,"7,778,540",18.83%,4.92
EVER,"1,230,986",18.83%,4.76
EZPW,"1,798,677",18.89%,12.53
COLL,"913,790",18.91%,11.64
CRWV,"37,296,470",19.06%,2.38
TGTX,"4,247,617",19.39%,14.56
IREN,"64,693,989",19.62%,1.71
BTBT,"24,556,736",19.89%,3.18
PRCH,"1,875,557",20.04%,9.45
FUN,"6,998,009",20.14%,11.10
CABA,"6,864,822",20.15%,6.73
CORZ,"36,696,058",20.15%,4.67
DUOL,"2,602,308",20.21%,3.05
URGN,"1,338,226",20.31%,9.45
ABCL,"11,505,686",20.39%,11.16
INBX,"465,118",20.87%,6.70
VUZI,"1,086,468",21.63%,15.76
NBIS,"18,714,840",21.68%,2.67
RILY,"826,456",21.70%,6.74
PGY,"12,686,021",21.80%,3.53
AVTX,"5,719,982",21.80%,4.61
TDUP,"2,886,970",21.96%,8.42
DXYZ,"3,962,902",22.12%,1.79
RXT,"192,828,828",22.32%,0.82
BNED,"283,727",23.06%,11.93
HUMA,"9,350,562",23.24%,6.45
IONQ,"41,993,337",23.50%,3.25
FLNC,"45,642,586",25.21%,5.19
CADL,"2,326,956",25.60%,9.70
ABSI,"6,085,626",26.11%,8.58
RUM,"2,414,055",26.46%,11.87
XRX,"6,945,742",26.83%,6.11
WYFI,"1,176,845",27.32%,3.25
MPT,"9,543,614",27.74%,21.91
ULCC,"12,498,075",28.47%,4.53
SEZL,"3,307,901",28.59%,6.18
PCT,"8,804,278",29.00%,11.57
FLWS,"2,204,788",29.77%,12.28
NVAX,"9,152,158",29.91%,10.86
WULF,"36,149,459",30.51%,3.10
CSIQ,"3,688,988",30.76%,6.05
KEEL,"39,142,042",31.01%,2.17
APLD,"24,840,611",31.02%,3.73
ABEO,"1,498,986",34.09%,13.92
SOUN,"47,682,652",38.15%,5.37
WOLF,"10,826,812",42.73%,3.78
