Ticker,Volume,Short Float,Short Ratio
UFPT,"212,940",15.22%,5.40
BBNX,"1,328,626",15.58%,5.31
TVTX,"2,388,929",15.63%,6.30
OFRM,"644,117",16.52%,7.24
FA,"3,635,306",16.85%,12.65
WBI,"3,865,139",17.12%,4.62
WGS,"1,399,343",17.56%,3.68
RNAC,"877,383",17.88%,9.89
BNED,"633,076",18.42%,9.61
AMPG,"8,225,840",18.49%,1.29
DNUT,"5,953,966",18.58%,7.50
VYX,"3,941,986",19.24%,11.31
CAKE,"1,822,644",19.74%,7.48
TGTX,"2,545,541",19.90%,13.05
DAVE,"787,331",21.51%,3.68
TBCH,"336,245",22.99%,10.20
UHAL,"264,195",24.56%,7.52
RHI,"5,281,181",24.58%,9.27
TWST,"2,611,419",24.98%,10.47
ULCC,"7,975,034",26.43%,4.17
CBRL,"1,984,958",27.73%,4.98
BIRK,"3,867,383",31.05%,6.91
TNGX,"9,955,445",31.59%,9.41
TRIP,"7,556,347",33.04%,8.82
LFVN,"502,868",33.85%,9.67
