Ticker,Volume,Short Float,Short Ratio
CRDF,"1,854,527",16.01%,9.36
ZD,"946,383",16.10%,8.33
IRD,"2,335,161",16.27%,5.01
AMPH,"503,880",16.62%,10.74
BCDA,"1,529,327",17.46%,2.02
SDGR,"2,804,462",17.52%,9.16
CVI,"1,327,330",18.25%,5.06
TWST,"2,409,508",18.93%,7.04
WGS,"791,988",21.80%,8.23
IOVA,"19,693,852",22.40%,5.40
EBS,"1,610,181",22.49%,9.57
SWKS,"8,193,957",23.06%,5.63
ASST,"7,803,028",24.01%,3.43
ODD,"1,597,377",24.32%,5.38
BBNX,"7,193,453",25.12%,8.09
PGEN,"8,226,554",25.70%,8.68
SMMT,"6,087,888",27.13%,8.08
TEM,"7,585,839",27.35%,4.68
MMED,"4,068,882",29.67%,5.39
XRX,"3,467,062",36.78%,12.45
