Ticker,Volume,Short Float,Short Ratio
DOCN,"2,836,946",15.24%,4.08
VAL,"2,104,597",15.32%,7.17
AISP,"1,330,650",15.40%,2.95
OKLO,"27,837,710",15.45%,0.96
PCRX,"1,010,755",15.46%,10.30
IONQ,"34,462,567",15.71%,2.21
WRAP,"394,490",15.87%,22.95
OLMA,"1,243,876",15.92%,10.97
TRML,"964,156",16.00%,4.10
HROW,"1,290,004",16.04%,9.84
RGTI,"43,007,614",16.27%,1.23
BTSG,"3,066,395",16.29%,6.05
RR,"72,839,580",16.40%,0.99
FUBO,"14,927,488",16.47%,3.74
EZPW,"838,232",16.48%,12.47
LITE,"3,857,347",16.61%,3.87
GCMG,"739,050",16.67%,15.81
VSCO,"4,257,665",16.89%,3.49
GEVO,"6,345,704",17.12%,6.96
RLAY,"1,974,705",17.46%,11.78
WBTN,"3,298,657",17.72%,4.25
LYFT,"25,228,745",17.75%,3.60
RIG,"38,594,736",17.77%,4.64
OCGN,"10,900,695",17.78%,13.21
GLUE,"31,553,435",17.85%,20.20
AEO,"14,600,498",17.85%,1.93
DIN,"502,054",17.87%,5.48
RAPP,"861,125",18.02%,5.51
NXE,"16,143,217",18.26%,12.15
SBH,"2,523,295",18.72%,9.22
RCEL,"19,546,981",18.75%,13.70
INOD,"3,580,377",19.39%,2.30
CORZ,"20,103,496",19.86%,2.88
TRIP,"3,979,849",19.91%,5.80
BLNK,"4,078,091",20.13%,5.51
QBTS,"44,199,580",20.13%,1.60
BE,"11,135,495",20.17%,4.30
LEU,"1,477,052",20.76%,2.54
SKIN,"2,020,444",21.10%,13.73
LE,"466,680",21.21%,4.75
CIFR,"42,233,228",21.52%,1.68
EVGO,"5,104,320",21.58%,6.40
CGON,"982,831",21.74%,11.49
RIOT,"40,457,493",22.42%,1.90
AAOI,"8,118,088",22.62%,2.43
STOK,"854,159",23.33%,13.15
DNTH,"883,632",23.76%,10.35
RCAT,"10,102,120",23.86%,2.13
AXL,"4,540,105",24.78%,7.11
REAL,"6,146,830",24.87%,6.48
OPEN,"324,912,582",26.36%,0.55
SERV,"10,363,015",27.07%,2.01
SPHR,"1,593,822",27.25%,8.50
PGY,"3,705,118",27.36%,3.49
BTDR,"6,726,518",27.75%,5.19
WOLF,"118,723,676",28.07%,0.80
NNE,"5,297,243",28.23%,2.29
LMND,"3,955,021",28.87%,6.48
SEI,"3,361,133",29.21%,5.60
EOSE,"15,648,255",30.27%,5.89
MPW,"13,750,669",33.54%,18.68
AIRE,"60,782,367",35.37%,0.22
RKT,"24,005,725",47.59%,5.72
ZBIO,"339,620",55.87%,30.68
IBRX,"26,948,896",76.59%,8.98
