Ticker,Volume,Short Float,Short Ratio
PLSE,"592,550",15.41%,8.41
VSXY,"2,282,692",15.75%,4.89
EVCM,"165,801",15.84%,12.22
HOG,"3,098,057",16.39%,5.96
XNCR,"1,259,672",16.49%,12.94
CLBK,"15,215,230",16.61%,3.60
CDNA,"1,034,391",17.85%,9.29
IMCR,"733,235",17.86%,17.93
LQDA,"3,398,448",17.87%,7.03
CAKE,"2,191,704",18.97%,6.58
NOG,"3,199,473",19.94%,6.80
NUVB,"7,707,066",21.44%,8.69
LBRX,"799,245",21.92%,19.74
RHI,"2,787,143",22.66%,9.45
FBIO,"604,713",23.16%,11.16
MMED,"968,998",25.31%,6.86
ZBIO,"1,168,132",35.17%,15.80
