Ticker,Volume,Short Float,Short Ratio
LAC,"81,649,764",15.06%,1.68
PRAX,"518,386",15.17%,5.08
LTBR,"3,235,083",15.23%,2.09
ODP,"920,730",15.33%,6.44
CLF,"29,681,723",15.47%,3.20
LXRX,"3,545,418",15.54%,9.17
OLMA,"1,404,302",15.59%,10.46
NRGV,"4,418,390",15.66%,5.41
IONQ,"32,006,555",15.67%,1.95
LRMR,"3,712,343",15.75%,5.03
BTSG,"3,412,598",15.80%,5.82
UAMY,"9,858,449",16.55%,2.47
EZPW,"1,204,340",16.59%,12.25
PUMP,"3,028,075",16.68%,5.13
GEVO,"6,434,342",16.71%,6.03
QURE,"11,284,566",16.88%,3.34
CRNX,"10,208,515",16.94%,13.84
HROW,"1,323,900",16.95%,9.26
RLAY,"4,059,319",17.29%,11.91
BBW,"471,973",17.29%,6.90
EBS,"1,356,237",17.30%,6.92
OCGN,"6,168,995",17.64%,11.87
DNTH,"936,070",17.64%,8.56
SKYT,"4,406,706",17.72%,3.93
CRVS,"957,026",17.78%,14.19
GLUE,"1,646,977",17.78%,8.04
FBIO,"1,200,020",17.83%,5.81
NXE,"9,409,043",18.26%,12.45
HTZ,"9,264,784",18.46%,6.86
MTSR,"2,580,393",18.47%,4.61
IMNM,"5,874,791",18.77%,13.70
QBTS,"60,434,949",19.17%,1.38
VERA,"1,600,597",19.28%,6.26
NVNI,"14,738,929",19.63%,0.34
SBH,"2,522,484",19.78%,9.28
AEHR,"1,935,954",19.96%,3.00
CLSK,"35,124,149",20.48%,2.26
LEU,"1,758,640",21.37%,2.55
WTI,"3,101,637",21.41%,14.84
SPWR,"4,990,016",21.68%,12.74
RIOT,"49,012,513",21.68%,1.84
SRRK,"4,393,173",21.69%,8.74
NOG,"4,000,855",22.89%,12.11
BKKT,"2,431,038",23.16%,1.59
CRK,"2,834,633",23.43%,6.88
CTMX,"9,294,781",23.60%,9.94
ARCT,"913,282",23.92%,10.21
STOK,"1,124,730",24.74%,12.82
TKNO,"354,692",25.53%,9.01
VUZI,"2,779,871",25.75%,8.23
MBX,"2,142,858",26.09%,4.10
SLNH,"16,767,267",27.27%,0.67
FLNC,"7,140,614",28.74%,4.10
DDD,"5,378,681",29.32%,9.24
CHRS,"1,565,133",30.15%,23.43
PLUG,"94,925,424",32.53%,4.67
NTLA,"6,593,629",33.61%,6.67
DPRO,"5,249,197",34.74%,0.52
ANAB,"590,049",36.78%,18.41
TNGX,"2,502,744",41.98%,12.91
