Ticker,Volume,Short Float,Short Ratio
RLJ,"5,845,475",15.10%,8.38
PII,"1,495,242",15.18%,7.02
URBN,"2,195,874",15.18%,4.00
PRAX,"1,123,081",15.34%,3.42
APLS,"3,222,405",15.51%,6.15
VSCO,"3,739,593",15.56%,4.23
AMCX,"1,120,432",15.63%,12.20
BILL,"3,940,863",15.77%,5.27
RVLV,"1,594,249",15.83%,5.81
TMC,"10,591,960",16.24%,2.99
SYRE,"4,002,571",16.53%,12.15
SATS,"8,350,148",16.75%,4.90
GLOB,"1,939,335",17.04%,5.26
DIN,"518,476",17.06%,4.60
ESTA,"627,479",17.09%,9.10
PCRX,"2,544,203",17.19%,10.62
MIRM,"3,828,659",17.57%,11.02
EBS,"1,805,504",17.69%,8.28
RLAY,"5,808,284",17.76%,11.19
WT,"4,388,211",18.04%,7.62
MDGL,"967,216",18.04%,10.99
LITE,"4,397,275",18.57%,2.97
RIVN,"104,623,885",18.62%,3.04
CNXC,"1,964,930",18.63%,7.77
FLG,"10,270,093",18.72%,11.05
CAKE,"2,162,452",18.82%,6.76
MRNA,"23,469,052",19.05%,6.33
NN,"2,623,183",19.08%,13.34
COLL,"870,342",19.23%,12.48
APGE,"2,756,501",19.59%,9.67
PGEN,"23,030,823",19.72%,6.14
ABL,"1,050,581",20.03%,8.87
VERA,"2,484,584",20.28%,6.78
CHH,"1,266,715",21.62%,8.83
CRMT,"773,845",21.92%,9.43
ANAB,"766,658",22.66%,10.23
IMVT,"3,409,714",22.80%,8.24
DBI,"1,693,070",22.95%,7.68
MNRO,"1,179,349",23.49%,6.03
SLS,"8,863,769",23.58%,7.55
LUNR,"43,666,412",23.81%,3.52
GLSI,"330,413",24.47%,10.35
CRMD,"3,684,917",24.60%,6.13
SEZL,"968,521",24.94%,4.45
CRDF,"894,864",25.41%,18.40
REAL,"4,984,954",26.25%,7.44
SPHR,"1,231,594",26.33%,7.27
KSS,"6,584,099",26.50%,5.49
ARRY,"6,931,061",26.59%,6.01
PHAT,"2,373,650",30.80%,11.85
RDW,"35,124,449",34.09%,2.44
SNBR,"1,045,504",38.90%,8.85
