Ticker,Volume,Short Float,Short Ratio
SFIX,"4,296,617",15.10%,8.40
NCLH,"23,865,733",15.52%,3.18
WBI,"1,836,941",15.79%,4.35
REAL,"3,981,809",15.81%,5.17
ETSY,"4,122,676",16.11%,5.11
H,"1,113,509",16.28%,7.62
MBX,"1,258,910",16.34%,7.68
TRS,"689,815",16.51%,9.23
FA,"13,836,718",16.85%,12.18
GIII,"647,648",17.03%,10.94
RZLT,"2,395,498",17.06%,6.25
CACC,"180,612",17.07%,5.69
AEVA,"2,152,356",17.24%,3.71
SGRY,"1,794,021",17.60%,10.11
FUN,"2,199,504",17.69%,9.18
HNGE,"1,877,903",17.74%,3.06
ABX,"605,612",18.26%,9.84
AMPG,"8,107,660",18.49%,1.24
DNUT,"3,066,775",18.59%,7.32
QTEX,"119,838,789",19.29%,0.34
GPGI,"4,071,990",19.55%,9.00
CAKE,"2,429,846",19.74%,7.48
TGTX,"2,574,284",19.90%,12.98
BHVN,"4,470,907",20.13%,10.81
DAVE,"1,196,408",21.51%,3.66
KSS,"6,635,513",22.53%,4.74
ABSI,"6,680,397",24.07%,6.58
BRUN,"2,483,291",24.32%,2.44
UHAL,"293,182",24.56%,7.53
RHI,"2,891,358",24.58%,9.19
TWST,"2,642,683",24.98%,10.29
PGEN,"6,754,470",25.31%,8.78
ULCC,"6,427,595",26.43%,4.11
XPOF,"602,320",27.32%,15.10
CBRL,"1,795,713",27.73%,4.91
SEZL,"963,854",30.96%,7.48
BIRK,"2,992,769",31.00%,6.86
WULF,"30,941,901",31.72%,3.60
TRIP,"13,648,749",33.04%,8.66
WYFI,"1,968,424",35.41%,2.60
AI,"6,979,303",38.59%,8.55
