Ticker,Volume,Short Float,Short Ratio
RUM,"5,546,035",16.43%,5.30
AMPH,"595,754",16.62%,10.98
ANIP,"579,335",16.67%,9.12
SBET,"13,645,600",17.28%,3.68
SDGR,"2,888,571",17.52%,7.84
DMAC,"281,821",17.65%,28.42
WBTN,"509,768",17.98%,9.82
CVI,"1,206,723",18.25%,5.05
ABTC,"2,406,336",18.69%,2.51
TWST,"2,239,630",18.93%,7.00
COHU,"1,387,210",19.07%,7.69
DFDV,"4,477,865",19.55%,3.61
VERI,"3,567,383",20.05%,5.00
GRAL,"3,528,615",20.29%,11.93
PSIX,"462,714",20.73%,3.89
WGS,"734,220",21.80%,8.26
CHPT,"2,104,641",22.18%,3.08
BKKT,"2,072,919",22.35%,4.73
BTBT,"52,691,403",22.37%,2.41
VSTM,"2,800,861",22.38%,7.39
BLSH,"2,463,695",22.81%,5.39
ASST,"17,634,458",23.38%,3.27
NRGV,"5,273,345",23.85%,5.97
UPXI,"7,533,160",24.08%,5.64
SG,"5,617,416",24.11%,4.32
GEMI,"4,640,360",24.65%,4.60
ABSI,"4,559,441",24.84%,8.26
VITL,"2,662,652",27.20%,5.75
CRML,"58,351,519",28.55%,3.67
MARA,"52,028,227",29.15%,2.25
NVAX,"6,135,452",31.12%,11.03
NUAI,"25,515,751",31.34%,3.70
CLSK,"23,239,355",31.74%,3.72
BTDR,"12,646,880",35.70%,4.66
GRPN,"2,518,965",35.91%,8.03
RXRX,"37,728,730",37.21%,9.37
