Ticker,Volume,Short Float,Short Ratio
RCEL,"313,690",15.33%,17.54
ATOM,"4,657,022",15.40%,2.48
ESTA,"510,253",15.66%,8.94
CATX,"3,525,625",15.80%,2.84
AEHR,"1,380,624",16.24%,4.63
BGS,"1,877,694",16.78%,7.24
BLBD,"636,564",17.08%,11.19
GIII,"751,551",17.81%,14.27
KNTK,"1,767,848",17.93%,6.27
AAOI,"7,962,623",17.96%,2.30
GPRE,"2,046,168",18.09%,9.11
HROW,"752,857",18.40%,10.63
WTI,"3,003,290",19.29%,9.80
AAP,"2,842,768",19.56%,5.92
CAKE,"1,954,527",20.68%,7.50
STOK,"853,489",24.14%,14.13
EZPW,"1,721,386",24.45%,12.28
IBRX,"45,125,028",40.89%,4.61
