Ticker,Volume,Short Float,Short Ratio
ERAS,"4,591,300",15.28%,5.93
PUMP,"7,380,452",15.29%,3.83
AMPX,"18,171,616",15.53%,2.49
UUUU,"25,580,518",16.03%,2.64
RES,"4,463,011",16.84%,9.22
IREN,"48,279,537",17.43%,1.33
LQDA,"3,651,952",17.68%,6.35
WT,"7,446,415",18.28%,6.43
AESI,"4,389,450",18.36%,4.75
ARRY,"7,124,140",18.40%,4.22
CMPX,"2,619,880",18.58%,10.70
BKV,"1,427,722",18.65%,4.87
LE,"297,776",19.02%,7.40
WTI,"3,147,134",19.64%,12.98
FLG,"6,758,395",20.18%,12.50
NOG,"2,757,942",20.58%,8.73
KNTK,"1,449,239",20.96%,7.91
ELVN,"1,106,260",21.08%,9.35
KRRO,"1,208,085",21.19%,2.07
MUX,"1,622,865",21.24%,8.17
DNTH,"1,182,869",23.80%,10.20
FLNC,"7,074,144",24.14%,3.63
RDW,"38,709,195",24.38%,1.23
NTST,"1,417,573",24.50%,16.68
AXL,"5,173,894",24.64%,8.75
CHRS,"2,248,447",28.90%,16.25
