Ticker,Volume,Short Float,Short Ratio
RIOT,"18,795,685",15.17%,2.83
TRS,"644,701",15.28%,8.63
AUR,"34,922,086",15.58%,9.89
PBI,"4,719,545",15.59%,7.26
ACDC,"1,490,132",15.71%,3.24
LIFE,"694,760",15.74%,4.29
AXTI,"11,633,914",15.77%,0.73
DOCN,"5,141,112",15.79%,2.75
HYPD,"474,985",16.30%,3.00
MIRM,"2,060,448",16.40%,10.32
ANVS,"1,976,496",16.60%,6.58
TDOC,"6,693,869",16.75%,5.07
REAL,"6,796,315",16.78%,5.43
ESTA,"674,366",17.17%,9.22
GPRO,"11,169,222",17.22%,3.35
PENG,"2,628,481",17.58%,6.34
TRVI,"2,378,603",17.71%,10.89
CGEM,"2,302,773",17.99%,10.32
AESI,"5,876,490",18.18%,3.46
AEHR,"4,043,892",18.71%,2.09
CRWV,"30,080,912",19.06%,2.39
OWL,"38,495,698",19.16%,3.43
CABA,"29,090,170",20.15%,8.49
CORZ,"16,025,120",20.15%,4.82
DUOL,"4,756,777",20.21%,3.05
PRCH,"2,528,302",20.24%,9.70
ABCL,"9,935,992",20.39%,11.40
INBX,"509,627",20.87%,7.23
SAH,"325,853",20.96%,8.34
KULR,"1,747,724",21.03%,7.19
NBIS,"24,701,895",21.68%,2.71
DXYZ,"4,671,437",22.12%,1.88
HRTX,"2,118,565",22.17%,21.18
CELC,"4,118,606",22.88%,11.82
IONQ,"26,228,338",23.50%,3.31
OMER,"1,086,899",24.41%,15.92
CADL,"2,511,325",25.60%,10.48
ABSI,"6,698,021",26.11%,8.81
RUM,"2,861,161",26.46%,12.00
XRX,"31,988,657",26.83%,7.05
WBTN,"383,273",27.06%,14.96
WYFI,"1,613,111",27.32%,3.22
QUBT,"13,276,058",27.65%,4.37
SEZL,"761,858",28.59%,6.19
ALMU,"2,302,723",29.73%,3.31
APLD,"23,901,570",31.02%,3.64
ABEO,"1,843,386",34.09%,14.35
ASAN,"11,654,772",35.06%,4.83
SOUN,"51,925,493",38.15%,5.41
WOLF,"4,332,969",42.73%,4.27
SPRY,"1,971,901",42.74%,19.10
KALV,"4,135,786",51.90%,8.27
GRPN,"2,243,075",54.89%,8.44
