Ticker,Volume,Short Float,Short Ratio
VG,"13,654,278",15.04%,6.41
EWTX,"1,966,349",15.29%,8.09
TMC,"20,252,117",15.42%,3.51
PEB,"2,537,414",15.49%,8.57
TYRA,"550,534",15.89%,11.53
UWMC,"16,028,950",15.98%,2.97
UUUU,"24,344,817",16.13%,2.49
RES,"1,860,911",16.58%,9.30
AEHR,"1,238,631",16.93%,5.13
SLDB,"1,200,445",17.04%,9.53
UMAC,"6,616,470",17.22%,1.64
CAKE,"1,565,542",17.33%,6.02
MUX,"1,392,304",17.72%,6.84
ORKA,"744,718",17.87%,14.85
DNTH,"743,082",17.90%,8.74
TSSI,"2,181,379",17.94%,2.70
PK,"6,537,316",18.22%,9.07
DRVN,"1,350,679",18.24%,10.29
AMKR,"5,076,778",18.55%,1.97
WLK,"1,826,395",18.56%,4.07
CWH,"2,502,324",18.65%,4.74
WT,"6,032,705",18.67%,7.00
GPRE,"1,732,583",18.95%,7.53
MRNA,"22,053,601",19.12%,6.03
ELVN,"1,068,881",19.13%,8.89
WTI,"1,974,920",19.41%,13.41
CRML,"41,395,960",19.45%,0.82
MIRM,"1,783,061",19.65%,11.92
UAMY,"23,709,723",20.06%,1.93
FWRD,"944,957",20.10%,7.26
LMND,"2,636,856",20.24%,5.04
DFTX,"2,773,570",20.50%,7.56
JBLU,"21,410,367",20.60%,3.19
CRVS,"15,081,163",20.61%,4.41
UA,"20,776,408",21.48%,4.49
RCAT,"24,374,154",22.49%,2.37
DDD,"4,009,748",23.60%,7.46
LUNR,"17,610,488",24.24%,2.87
CGON,"2,887,484",25.49%,12.85
EOSE,"27,848,503",25.50%,3.75
AXL,"10,429,600",25.74%,9.62
RR,"68,864,147",26.97%,1.12
PLAY,"1,578,880",27.20%,6.32
METC,"4,705,487",28.60%,3.55
UAA,"17,138,313",35.06%,5.77
SLS,"9,461,576",35.26%,6.37
NVAX,"16,402,819",35.34%,13.63
NFE,"15,861,111",36.28%,4.80
IBRX,"95,347,057",36.48%,6.26
NTLA,"9,200,589",37.82%,6.08
TNGX,"4,580,475",45.09%,11.16
