Ticker,Volume,Short Float,Short Ratio
IRD,"2,239,733",16.61%,10.45
AMPH,"650,129",17.16%,11.14
ANDG,"762,657",18.07%,5.51
WW,"204,852",18.99%,8.97
GPRO,"285,136,073",19.90%,1.03
CVI,"1,031,264",20.13%,5.83
SGMT,"1,250,059",20.46%,9.58
PSIX,"447,946",20.78%,3.82
DFDV,"1,891,752",21.15%,4.60
MMED,"1,719,503",22.08%,4.31
VTS,"585,809",22.85%,12.86
ZURA,"1,389,478",22.90%,8.63
ASST,"8,996,803",23.12%,3.41
SMMT,"6,946,115",24.57%,7.03
CHPT,"13,432,727",25.31%,4.48
ALT,"4,871,948",27.75%,11.54
CABA,"4,893,141",28.55%,8.92
NVAX,"5,125,027",30.31%,11.06
PROK,"1,225,328",37.51%,17.87
