Ticker,Volume,Short Float,Short Ratio
BFLY,"9,982,260",15.23%,3.99
XNCR,"1,615,605",15.54%,11.97
LYV,"4,112,591",16.10%,10.21
CVI,"2,388,983",17.93%,5.60
PCRX,"558,245",18.48%,13.13
EPAM,"2,275,748",18.93%,4.83
CAKE,"2,367,434",19.49%,6.34
MNDY,"2,275,903",20.24%,3.92
OWL,"40,932,440",20.41%,5.54
LBRX,"513,948",20.52%,16.40
DBX,"4,354,888",20.66%,7.12
CERT,"5,163,527",27.72%,7.13
KSS,"4,919,314",28.07%,6.22
LVWR,"5,725,377",31.89%,0.82
XRX,"29,519,316",33.65%,5.82
ORIC,"1,874,846",35.23%,13.29
GRND,"1,814,471",36.60%,5.30
