Ticker,Volume,Short Float,Short Ratio
RIOT,"20,871,229",15.17%,2.84
TRS,"666,386",15.28%,8.39
TRON,"2,319,650",15.45%,7.05
UFPT,"496,345",15.50%,5.49
AUR,"27,826,039",15.58%,9.71
SYRE,"2,010,988",15.65%,11.14
LIFE,"503,428",15.74%,4.47
DOCN,"14,939,307",15.79%,2.73
WT,"3,728,918",16.10%,6.09
HYPD,"462,230",16.30%,3.13
MIRM,"1,176,398",16.40%,10.09
TDOC,"6,072,855",16.75%,5.21
DEI,"2,871,665",16.76%,10.67
REAL,"3,756,154",16.78%,5.34
CIFR,"63,436,142",16.87%,2.12
ESTA,"760,945",17.17%,9.12
GPRO,"9,626,416",17.22%,3.28
PENG,"4,743,137",17.58%,6.48
CACC,"205,400",17.74%,5.04
AESI,"13,464,278",18.18%,3.37
MP,"5,558,698",18.83%,4.91
EVER,"6,822,035",18.83%,5.29
OWL,"47,807,673",19.16%,3.49
EBS,"1,336,792",19.37%,11.17
IREN,"47,698,654",19.62%,1.68
BTBT,"30,933,574",19.89%,3.19
CABA,"9,222,093",20.15%,7.17
CORZ,"13,966,412",20.15%,4.78
PRCH,"3,265,274",20.24%,9.64
ABCL,"13,292,465",20.39%,11.36
MED,"834,040",20.71%,8.84
INBX,"411,997",20.87%,7.03
AVTX,"3,192,416",21.80%,7.47
TDUP,"7,561,173",21.97%,9.00
DXYZ,"2,724,783",22.12%,1.83
CELC,"1,395,072",22.88%,11.10
RNAC,"296,355",23.09%,10.95
SLNH,"19,211,181",23.29%,1.97
NVTS,"39,293,438",23.32%,1.94
BLSH,"3,670,437",23.56%,5.76
CADL,"2,695,469",25.60%,10.02
ABSI,"5,690,667",26.11%,8.64
XRX,"12,828,346",26.83%,6.35
WYFI,"1,383,622",27.32%,3.24
DDD,"3,314,655",27.80%,14.76
IOVA,"18,138,853",28.41%,6.83
ALMU,"2,703,739",29.73%,3.15
INDI,"5,264,992",30.73%,12.30
APLD,"32,258,038",31.02%,3.70
ASAN,"8,372,666",35.06%,4.74
LFVN,"218,556",35.18%,21.33
CRML,"19,517,869",35.36%,1.79
SOUN,"30,847,164",38.15%,5.36
STIM,"5,802,867",42.36%,4.64
WOLF,"10,291,794",42.73%,4.19
SPRY,"1,525,340",42.74%,18.87
KALV,"5,317,270",51.90%,7.90
