Ticker,Volume,Short Float,Short Ratio
BBIO,"20,325,000",15.02%,7.86
KMTS,"386,905",15.19%,9.03
WRAP,"59,899,633",15.20%,16.27
DNTH,"2,395,399",15.22%,7.77
INMB,"1,273,605",15.53%,5.47
PSNL,"5,464,898",15.74%,3.76
XNCR,"1,239,910",16.11%,13.68
ANDG,"481,316",16.30%,7.14
PCRX,"616,241",16.66%,12.28
MDGL,"379,135",17.44%,11.57
IMCR,"655,795",17.96%,19.22
GRAL,"730,268",18.08%,10.15
ABX,"860,615",18.22%,10.24
SION,"698,131",18.84%,11.43
OPEN,"112,031,675",19.07%,3.35
NUVB,"8,857,001",19.29%,8.52
EYPT,"1,569,891",19.30%,13.52
RGNX,"1,973,432",19.81%,4.97
VERA,"2,339,219",20.25%,7.83
PVLA,"274,681",20.50%,8.02
VOR,"1,596,602",20.61%,5.03
PENG,"9,617,033",20.78%,3.11
LRMR,"3,814,797",20.82%,5.02
RCKT,"2,855,334",21.14%,8.43
PHAT,"2,165,615",22.19%,9.19
FBIO,"1,075,619",22.45%,12.52
TECX,"216,249",22.70%,10.46
SAH,"459,501",22.99%,9.54
RLAY,"4,385,416",23.25%,9.06
MPLT,"664,309",24.80%,5.18
VSTM,"5,124,747",27.45%,8.58
ABEO,"2,607,217",28.12%,11.83
NGNE,"436,407",28.29%,17.52
GLUE,"1,199,706",29.23%,15.28
INBX,"561,327",30.36%,7.10
PATH,"98,072,636",32.28%,3.03
GRND,"1,939,231",32.63%,5.06
PRME,"4,844,750",34.26%,11.13
