Ticker,Volume,Short Float,Short Ratio
LIFE,"1,539,587",15.29%,2.54
XNCR,"1,124,578",15.49%,11.73
PLSE,"734,623",15.59%,7.74
RC,"2,575,046",15.67%,14.58
TIC,"4,290,984",16.11%,8.42
APPN,"1,490,488",16.30%,6.30
SRZN,"371,199",16.46%,5.62
REAX,"7,432,221",16.47%,6.20
ELE,"489,287",16.57%,5.98
DOCS,"65,316,942",16.68%,4.72
SDGR,"1,371,265",16.74%,8.19
SGMT,"1,113,093",16.82%,8.83
GCT,"1,079,270",17.25%,6.42
AXTI,"19,172,811",17.58%,1.10
FA,"2,577,953",18.47%,8.04
HNGE,"2,563,041",19.13%,3.23
VIA,"1,098,156",19.49%,6.48
SVV,"2,947,085",19.56%,7.20
SION,"747,527",19.76%,10.67
OWL,"34,387,405",20.17%,5.97
MNDY,"2,506,738",20.24%,3.98
PSIX,"1,290,650",20.62%,2.48
TNDM,"5,435,937",20.65%,5.30
DBX,"9,232,241",20.66%,7.01
WW,"282,360",20.69%,7.74
WGS,"1,233,388",21.18%,5.16
CRSR,"9,519,141",23.77%,4.07
MMED,"1,629,894",24.38%,6.07
FOXA,"6,692,878",24.42%,7.93
LYFT,"23,957,296",24.80%,6.51
VSTM,"4,319,009",24.80%,7.66
HYMC,"2,242,991",25.51%,5.87
PGEN,"5,758,900",25.63%,8.09
IOVA,"30,970,676",25.75%,6.23
ABEO,"1,396,870",26.26%,10.84
ARCT,"1,461,642",26.89%,14.72
OMDA,"4,921,543",28.64%,6.29
PATH,"62,565,544",28.90%,1.85
STOK,"866,578",29.35%,19.99
IBTA,"457,463",35.26%,13.68
ASAN,"6,053,425",39.51%,5.91
SOUN,"65,224,973",43.20%,5.50
