Ticker,Volume,Short Float,Short Ratio
RIOT,"20,685,124",15.17%,2.88
ANAB,"1,309,184",15.29%,4.94
PEB,"2,376,265",15.36%,7.36
DLO,"1,660,514",15.50%,8.59
TROX,"4,004,248",16.09%,4.98
SKLZ,"9,194,264",16.70%,2.33
GPRO,"8,340,782",17.22%,3.70
INV,"3,226,266",17.37%,4.97
PENG,"2,487,488",17.56%,6.76
HUT,"5,276,576",18.14%,3.70
AESI,"4,504,594",18.18%,3.58
ERAS,"5,736,611",18.19%,6.38
AEHR,"2,612,514",18.83%,2.24
IREN,"41,750,825",19.62%,1.60
FWRD,"691,881",19.91%,6.19
CORZ,"15,006,008",20.15%,4.87
OKLO,"23,098,646",20.23%,2.82
ABCL,"9,393,390",20.39%,13.32
INBX,"499,028",20.87%,7.78
DBI,"868,484",22.13%,10.22
MPLT,"530,171",22.17%,7.21
HRTX,"6,053,084",22.17%,23.28
NVTS,"46,666,878",23.32%,2.06
OMER,"1,518,027",24.41%,15.96
CADL,"1,689,717",25.60%,10.94
AVBP,"838,793",25.62%,14.84
ABSI,"4,388,493",26.53%,9.46
NGNE,"273,080",28.53%,23.22
ALMU,"1,862,457",29.73%,3.73
VELO,"2,526,922",30.70%,1.63
EOSE,"34,736,411",30.81%,4.16
KEEL,"40,378,079",31.01%,2.07
APLD,"35,219,904",31.02%,3.45
INDI,"11,134,647",31.26%,14.14
HIMS,"43,271,720",33.82%,1.79
CLSK,"26,921,007",34.27%,3.70
LFVN,"240,500",35.18%,19.87
TNGX,"5,145,057",40.10%,12.59
WOLF,"8,387,250",42.73%,5.07
