Ticker,Volume,Short Float,Short Ratio
LFMD,"1,404,446",15.04%,4.88
RGNX,"1,455,947",15.08%,8.57
UUUU,"13,561,151",15.12%,3.60
RIOT,"37,130,752",15.21%,2.87
PEB,"3,688,719",15.36%,6.69
UFPT,"467,572",15.50%,5.34
DLO,"2,711,156",15.50%,8.53
AUR,"41,538,604",15.58%,9.66
PBI,"7,390,946",15.59%,7.03
TRS,"594,264",15.64%,8.29
COLM,"768,593",15.73%,5.17
LIFE,"772,689",15.74%,4.49
AXTI,"15,016,167",15.77%,0.72
DOCN,"6,079,071",15.79%,2.61
WT,"4,896,986",16.10%,6.10
TMC,"12,764,013",16.18%,5.87
BROS,"9,853,837",16.34%,4.30
MIRM,"1,005,731",16.40%,9.98
TSHA,"4,044,399",16.52%,14.10
INV,"3,382,573",16.72%,4.87
DEI,"5,088,640",16.76%,10.64
SMCI,"126,400,361",16.84%,2.47
CIFR,"43,196,438",16.87%,2.09
PACB,"7,515,091",16.98%,7.70
TSSI,"1,674,628",17.02%,2.57
ESTA,"2,138,588",17.17%,8.99
PENG,"5,566,825",17.58%,6.20
CACC,"302,982",17.74%,5.10
HUT,"19,748,583",18.14%,4.08
AESI,"8,003,104",18.18%,3.23
GRAL,"1,255,441",18.78%,5.61
MP,"8,522,544",18.83%,4.94
EVER,"2,998,776",18.83%,4.86
COLL,"900,915",18.91%,11.88
CRWV,"31,354,739",19.06%,2.37
OWL,"49,814,553",19.16%,3.53
MDGL,"569,020",19.26%,11.62
QURE,"3,545,921",19.26%,3.52
TGTX,"6,582,586",19.39%,15.19
IREN,"61,147,795",19.62%,1.69
BTBT,"35,221,157",19.89%,3.19
QS,"22,759,918",19.92%,5.86
PRCH,"2,508,868",20.04%,9.47
CABA,"6,706,305",20.15%,6.90
CORZ,"38,584,413",20.15%,4.80
OKLO,"22,646,590",20.24%,2.77
TEAD,"1,136,813",20.29%,11.39
URGN,"2,797,908",20.31%,9.85
ABCL,"7,552,157",20.39%,11.26
MED,"302,478",20.55%,8.49
SGRY,"4,522,506",20.60%,9.75
ATYR,"4,156,902",20.79%,17.24
RNAC,"278,370",20.83%,10.83
INBX,"773,406",20.87%,6.92
NNE,"7,040,442",20.94%,4.76
VUZI,"1,100,153",21.63%,15.74
NBIS,"19,163,820",21.68%,2.67
RILY,"913,035",21.70%,6.77
PGY,"5,001,999",21.80%,3.50
AVTX,"22,435,778",21.80%,6.78
TDUP,"6,472,319",21.96%,8.65
DXYZ,"2,430,302",22.12%,1.81
HRTX,"4,616,826",22.17%,20.59
BKSY,"2,010,181",22.81%,4.23
CELC,"801,644",22.88%,10.98
SLNH,"33,947,368",23.29%,1.94
NVTS,"36,376,831",23.32%,1.91
IONQ,"52,886,010",23.50%,3.31
LEU,"1,337,837",23.57%,4.78
BEAM,"2,187,010",23.76%,10.97
UAMY,"17,161,344",23.99%,2.37
BBAI,"65,668,715",25.29%,3.22
SRPT,"4,657,701",25.47%,9.22
CADL,"1,829,349",25.60%,9.81
ABSI,"6,582,336",26.11%,8.68
ABR,"3,908,875",26.28%,12.86
RUM,"3,780,526",26.46%,12.01
XRX,"6,447,895",26.83%,6.18
WYFI,"1,570,173",27.32%,3.23
QUBT,"18,969,123",27.65%,4.44
DDD,"3,448,383",27.80%,14.73
MARA,"52,518,429",28.22%,2.18
IOVA,"16,947,486",28.41%,6.81
ULCC,"7,739,311",28.47%,4.55
SEZL,"1,159,065",28.59%,6.22
RR,"12,644,287",28.71%,5.42
GLUE,"1,120,503",28.73%,15.10
ALMU,"2,171,075",29.73%,3.05
NVAX,"16,464,642",29.91%,11.45
WULF,"44,803,441",30.51%,3.10
KEEL,"61,664,630",31.01%,2.17
APLD,"32,494,948",31.02%,3.69
BYND,"97,776,691",31.81%,2.66
NGNE,"340,891",32.43%,22.98
ABEO,"1,832,198",34.09%,14.11
CLSK,"27,066,690",34.27%,4.04
LFVN,"768,375",35.18%,23.00
CRML,"18,244,619",35.36%,1.79
SOUN,"29,211,042",38.15%,5.36
BTDR,"14,320,355",40.80%,6.43
WOLF,"14,819,419",42.73%,4.06
SPRY,"3,170,698",42.74%,18.79
KALV,"6,490,961",51.90%,7.67
