Ticker,Volume,Short Float,Short Ratio
HURA,"2,136,415",15.23%,4.26
RES,"3,798,492",15.38%,6.24
TYRA,"2,124,191",15.41%,6.45
DK,"2,014,813",16.16%,6.22
ZD,"2,975,986",16.29%,5.83
AMPX,"9,397,944",16.41%,2.22
TERN,"4,861,838",17.35%,7.78
CGON,"3,213,843",17.45%,7.50
BCRX,"12,944,153",17.55%,8.35
AESI,"4,555,851",18.27%,5.53
SEDG,"9,879,567",18.42%,3.48
NOG,"5,294,492",18.89%,7.46
CVI,"2,766,814",19.55%,4.18
DNTH,"2,414,497",21.30%,8.33
NN,"2,146,273",23.39%,15.03
ANDG,"1,031,969",23.86%,7.91
TRON,"1,999,709",23.89%,8.39
PBF,"5,929,428",25.40%,6.15
BKSY,"2,294,575",25.61%,5.38
SNDX,"2,924,025",25.72%,16.93
SOC,"12,521,394",26.12%,3.99
HPK,"1,228,893",36.37%,7.57
IBTA,"794,392",39.98%,11.53
TNGX,"7,595,229",49.87%,14.95
