Ticker,Volume,Short Float,Short Ratio
UFPT,"227,531",15.76%,9.82
RIG,"53,928,630",16.17%,3.37
CRVS,"1,051,721",16.21%,10.32
LB,"690,595",16.36%,9.85
LYFT,"28,718,230",16.68%,3.06
SVRA,"1,714,261",16.77%,9.39
COLL,"561,860",17.09%,12.35
MDGL,"508,261",17.95%,10.11
H,"1,159,387",18.09%,7.68
IMNM,"2,025,503",18.13%,11.37
ESTA,"422,806",18.32%,11.46
ORGO,"2,253,111",18.58%,8.44
RIGL,"1,142,064",19.71%,4.99
ZIM,"5,105,299",19.85%,4.75
YOU,"1,725,363",20.06%,10.44
CNX,"1,955,358",20.40%,14.45
CSIQ,"11,902,631",20.55%,3.18
ALT,"2,972,621",20.79%,7.45
GLUE,"1,689,614",20.98%,5.93
RIVN,"108,537,090",21.16%,3.37
APGE,"1,525,448",21.60%,12.95
CRK,"4,897,055",23.48%,6.64
REAL,"22,383,625",25.97%,6.29
IOVA,"26,729,298",26.04%,6.02
SNDX,"3,525,666",26.19%,8.19
EOSE,"22,735,022",29.46%,4.12
ZBIO,"423,547",43.93%,11.45
