Ticker,Volume,Short Float,Short Ratio
TRML,"447,733",15.05%,12.42
FUBO,"18,687,675",15.18%,3.58
UPB,"553,539",15.73%,6.36
WRAP,"375,879",15.76%,23.51
SIG,"1,196,923",15.91%,5.93
CRNX,"1,423,926",15.96%,16.11
VERA,"2,584,223",16.01%,4.70
OLMA,"3,836,467",16.06%,12.34
TSHA,"5,125,939",16.38%,11.60
LITE,"6,407,481",16.47%,4.06
TGTX,"2,232,647",16.47%,11.04
SBH,"2,508,907",16.66%,8.57
DMAC,"751,953",16.92%,11.06
CRVS,"1,118,225",17.09%,12.80
CLB,"589,207",17.12%,15.66
MLYS,"3,727,405",17.31%,5.94
RLAY,"2,028,102",17.47%,11.76
SAIL,"3,977,568",17.53%,4.59
ARQT,"2,693,334",17.61%,10.59
IMCR,"631,145",17.63%,25.91
UWMC,"11,345,971",17.71%,4.06
AEO,"36,184,713",18.10%,2.15
DFH,"787,084",18.32%,11.91
NXE,"8,561,254",18.92%,12.20
TARS,"683,529",19.04%,11.54
EXPI,"1,190,860",19.08%,16.12
APLS,"2,810,073",19.44%,8.76
PRCH,"2,273,965",19.85%,5.87
QURE,"2,079,214",19.99%,8.56
LENZ,"488,986",20.05%,10.10
VSCO,"4,449,819",20.20%,4.09
RIVN,"85,221,385",21.52%,4.51
RH,"1,655,493",21.54%,2.62
LOVE,"323,029",21.56%,8.79
W,"7,512,144",21.79%,4.52
SEDG,"5,807,867",21.88%,2.32
SVRA,"2,475,364",21.98%,13.60
CGON,"2,019,071",21.99%,12.54
AXL,"4,027,303",22.20%,6.42
IMVT,"2,073,334",22.76%,11.81
KRRO,"1,010,785",23.56%,9.08
ENPH,"10,609,102",23.87%,3.37
OPEN,"565,110,102",24.33%,0.59
SNDX,"2,729,933",24.72%,9.42
DNTH,"679,673",25.49%,16.95
PGY,"3,431,225",25.99%,3.41
SCVL,"1,374,012",26.11%,10.27
SPHR,"953,111",26.84%,10.00
NTLA,"5,143,779",27.42%,5.96
ABR,"2,802,300",27.51%,19.32
VUZI,"3,049,516",27.83%,11.80
VSTM,"3,997,722",28.23%,6.15
BEAM,"4,718,472",29.77%,11.23
NUVB,"21,904,330",30.00%,11.00
CHRS,"1,493,207",30.97%,23.92
MPW,"9,820,026",34.52%,19.96
RKT,"39,240,194",45.16%,5.91
PLCE,"1,344,744",51.72%,3.75
ZBIO,"571,717",52.29%,28.56
