Ticker,Volume,Short Float,Short Ratio
NRXP,"1,498,579",15.08%,4.89
SRRK,"2,205,642",15.47%,10.05
AUR,"49,755,202",15.48%,8.64
TVTX,"3,042,499",15.57%,6.71
DIN,"698,119",16.04%,4.62
INMB,"4,251,982",16.05%,8.69
POET,"123,524,481",16.17%,0.54
PLSE,"1,214,121",16.25%,9.64
CACC,"218,495",16.27%,4.82
RILY,"1,214,511",16.33%,5.04
TDC,"2,491,369",16.36%,7.05
DMRC,"276,707",16.51%,11.64
MIRM,"1,031,455",16.63%,8.63
CIFR,"27,396,594",16.81%,2.15
INOD,"2,783,297",16.98%,3.39
OMDA,"1,644,561",17.16%,3.19
SEDG,"5,871,165",17.19%,2.65
CHPT,"556,105",17.31%,8.07
CLFD,"569,798",17.47%,10.76
KURA,"2,021,884",17.83%,10.68
QCLS,"3,709,746",17.92%,2.22
PENG,"4,175,600",17.98%,4.87
IREN,"57,507,305",18.01%,1.51
INV,"2,866,389",18.34%,4.83
CLPT,"1,090,939",18.56%,6.64
BTBT,"46,823,150",19.07%,2.96
KLAR,"27,135,392",19.61%,3.99
AEVA,"3,635,910",19.83%,4.86
NVTS,"39,806,603",19.86%,1.52
STAA,"3,962,588",20.41%,5.29
VUZI,"1,099,813",20.67%,14.22
QS,"29,984,586",20.73%,5.72
NBIS,"29,637,594",21.44%,2.60
RUM,"4,713,643",21.79%,9.32
CORZ,"17,225,468",21.80%,4.81
ASST,"5,318,421",21.87%,3.54
RIGL,"449,609",21.95%,10.04
KULR,"5,371,165",22.21%,6.98
BKSY,"2,466,799",22.69%,3.71
SAIL,"5,636,575",23.42%,4.43
ENPH,"16,369,382",23.68%,5.04
LUNR,"19,158,013",23.92%,2.11
NN,"4,746,334",24.08%,8.97
RXT,"39,403,949",24.08%,0.68
LTRN,"1,251,475",24.14%,3.26
CADL,"3,012,304",24.94%,8.51
ABSI,"5,257,816",25.01%,7.75
PLUG,"91,172,330",25.79%,4.18
PGEN,"9,714,543",25.86%,8.86
WEN,"13,373,529",26.71%,4.63
MARA,"51,066,849",26.90%,2.13
DFDV,"1,612,120",27.12%,5.60
DERM,"763,724",27.42%,15.95
SLNH,"33,226,665",27.55%,1.79
RR,"19,731,349",27.61%,5.11
WYFI,"7,653,179",27.65%,2.74
FLNC,"11,332,211",27.99%,4.03
DDD,"5,493,960",29.25%,12.70
PCT,"15,389,228",29.27%,11.10
VELO,"3,120,457",29.30%,1.58
VIVO,"4,393,362",29.69%,2.62
KEEL,"46,995,633",29.73%,2.26
BBAI,"37,166,979",29.74%,3.92
QUBT,"36,675,774",30.12%,3.93
EOSE,"46,775,859",30.55%,3.75
ONDS,"241,302,395",34.49%,2.28
KALV,"3,472,193",40.01%,5.48
BTDR,"13,960,286",41.82%,6.37
WOLF,"18,002,397",58.00%,4.10
