Ticker,Volume,Short Float,Short Ratio
TRML,"3,068,171",15.05%,4.39
DOCN,"3,084,348",15.34%,4.24
WRAP,"348,416",15.71%,22.72
UAMY,"6,173,686",15.74%,2.96
BDTX,"1,148,989",15.92%,6.84
CRNX,"1,165,507",15.97%,15.33
VRDN,"924,885",16.03%,14.75
OLMA,"1,616,638",16.06%,11.39
BTSG,"7,593,784",16.25%,5.95
LITE,"5,789,636",16.27%,3.93
INOD,"5,467,408",16.51%,2.00
GME,"45,979,737",16.60%,5.37
SBH,"2,807,751",16.66%,8.39
MLYS,"2,082,160",17.31%,5.48
HUT,"7,662,314",17.33%,2.89
ARQT,"2,045,038",17.61%,10.36
UWMC,"11,118,150",17.77%,4.00
LYFT,"27,117,415",17.89%,3.77
AEO,"17,474,340",18.10%,2.04
LE,"934,020",18.75%,4.27
BE,"21,901,946",19.90%,4.49
AAOI,"10,566,152",20.82%,2.20
SKIN,"1,345,157",20.94%,14.22
CIFR,"69,033,795",21.18%,1.69
LOVE,"828,785",21.56%,8.68
DBI,"2,330,604",21.58%,4.64
CGON,"1,111,407",21.94%,12.31
RIOT,"55,026,825",22.04%,1.88
CORZ,"41,014,959",23.28%,3.50
KRRO,"210,244",23.56%,8.06
STOK,"1,067,384",24.33%,14.18
REAL,"6,254,195",24.58%,6.59
DNTH,"2,858,547",25.49%,12.55
SPHR,"1,703,487",26.84%,9.07
APLD,"48,159,444",27.28%,1.68
VSTM,"3,119,933",28.23%,5.99
CMPO,"1,042,384",28.46%,13.79
QMCO,"1,912,600",28.63%,2.02
PHAT,"1,452,609",31.82%,8.83
WULF,"61,876,745",33.35%,1.67
RKT,"39,729,252",44.36%,5.72
ASST,"45,193,156",46.84%,1.48
PLCE,"1,610,665",50.67%,3.84
ZBIO,"199,301",52.29%,26.94
