Ticker,Volume,Short Float,Short Ratio
DIN,"653,114",15.35%,4.04
PRAX,"2,892,247",15.38%,3.74
APLS,"4,338,930",15.76%,6.39
VSCO,"12,119,343",15.91%,4.57
ESTA,"516,420",15.97%,9.56
WRAP,"999,686",16.00%,14.07
SATS,"28,537,830",16.61%,5.08
GIII,"468,419",16.72%,13.59
BKV,"1,220,170",17.04%,3.12
TDUP,"2,869,681",17.33%,8.57
NRDY,"1,606,834",17.35%,10.50
ANGI,"1,671,325",17.55%,6.20
ASTS,"13,535,894",17.60%,2.96
TRVI,"2,645,421",17.65%,6.80
MRNA,"16,497,234",18.57%,5.74
SANA,"5,893,686",19.96%,6.63
ASAN,"4,706,990",19.99%,4.42
VERA,"2,532,933",20.48%,6.24
NOG,"3,120,251",21.18%,9.65
CRMT,"250,284",21.21%,8.89
CNX,"2,533,484",21.32%,14.81
SVRA,"3,873,990",21.40%,9.91
NBR,"438,470",21.74%,4.61
SERV,"13,529,432",21.97%,1.28
CAL,"1,321,084",23.14%,7.02
LMND,"2,821,419",23.17%,5.48
ONDS,"82,095,806",23.25%,1.09
KROS,"1,114,647",23.88%,7.18
AVBP,"643,186",27.54%,20.62
ULCC,"4,128,963",33.61%,7.28
CAPR,"7,021,337",35.22%,5.45
KALV,"1,886,397",38.26%,10.13
IRBT,"144,980,059",41.90%,1.57
